"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://aiatsis.gov.au","1","35743","35743","0","35743","35743","36742","36742","0","36742","36742","9252","9252","0","9252","9252","2303","2303","0","2303","2303","2910898","2910898","0","2910898","2910898","76","76","0","76","76","35742","35742","0","35742","35742","17815","17815","0","17815","17815","20227","20227","0","20227","20227","20227","20227","0","20227","20227","220511_23_137"
"","https://business.gov.au","1","16447","16447","0","16447","16447","24673","24673","0","24673","24673","3522","3522","0","3522","3522","1005","1005","0","1005","1005","1520800","1520800","0","1520800","1520800","58","58","0","58","58","16446","16446","0","16446","16446","7522","7522","0","7522","7522","8846","8846","0","8846","8846","8846","8846","0","8846","8846","220511_90_138"
"","https://superfundlookup.gov.au","1","5218","5218","0","5218","5218","5538","5538","0","5538","5538","2848","2848","0","2848","2848","2207","2207","0","2207","2207","315385","315385","0","315385","315385","19","19","0","19","19","5218","5218","0","5218","5218","4603","4603","0","4603","4603","6288","6288","0","6288","6288","6288","6288","0","6288","6288","220511_YY_139"
"","https://authorisationmanager.gov.au","1","10099","10099","0","10099","10099","11875","11875","0","11875","11875","3588","3588","0","3588","3588","2510","2510","0","2510","2510","929389","929389","0","929389","929389","7","7","0","7","7","10099","10099","0","10099","10099","11118","11118","0","11118","11118","12082","12082","0","12082","12082","12082","12082","0","12082","12082","220511_4W_13A"
"","https://www.dss.gov.au","1","6509","6509","0","6509","6509","8009","8009","0","8009","8009","2102","2102","0","2102","2102","774","774","0","774","774","745530","745530","0","745530","745530","38","38","0","38","38","6510","6510","0","6510","6510","4557","4557","0","4557","4557","6240","6240","0","6240","6240","6240","6240","0","6240","6240","220511_83_13B"
"","https://ato.gov.au","1","16117","16117","0","16117","16117","19756","19756","0","19756","19756","5074","5074","0","5074","5074","1905","1905","0","1905","1905","1619371","1619371","0","1619371","1619371","85","85","0","85","85","16117","16117","0","16117","16117","7471","7471","0","7471","7471","14280","14280","0","14280","14280","12386","12386","0","12386","12386","220511_MP_13C"
"","https://www.wa.gov.au","1","6924","6924","0","6924","6924","7978","7978","0","7978","7978","1649","1649","0","1649","1649","2971","2971","0","2971","2971","1074580","1074580","0","1074580","1074580","44","44","0","44","44","6924","6924","0","6924","6924","2996","2996","0","2996","2996","5149","5149","0","5149","5149","5149","5149","0","5149","5149","220511_E8_13D"
"","https://www.abs.gov.au","1","5928","5928","0","5928","5928","6680","6680","0","6680","6680","1635","1635","0","1635","1635","534","534","0","534","534","2734329","2734329","0","2734329","2734329","23","23","0","23","23","5928","5928","0","5928","5928","3456","3456","0","3456","3456","6674","6674","0","6674","6674","6674","6674","0","6674","6674","220511_H4_13E"
"","https://www.asqa.gov.au","1","14612","14612","0","14612","14612","15127","15127","0","15127","15127","9153","9153","0","9153","9153","1268","1268","0","1268","1268","1454358","1454358","0","1454358","1454358","46","46","0","46","46","14612","14612","0","14612","14612","10488","10488","0","10488","10488","14331","14331","0","14331","14331","14331","14331","0","14331","14331","220511_MS_13F"
"","https://www.passports.gov.au","1","8641","8641","0","8641","8641","9242","9242","0","9242","9242","4179","4179","0","4179","4179","2105","2105","0","2105","2105","967351","967351","0","967351","967351","45","45","0","45","45","8641","8641","0","8641","8641","5680","5680","0","5680","5680","6591","6591","0","6591","6591","6591","6591","0","6591","6591","220511_RD_13G"
