"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.bangladesh.gov.bd","1","35595","35595","0","35595","35595","38142","38142","0","38142","38142","1072","1072","0","1072","1072","10368","10368","0","10368","10368","8958911","8958911","0","8958911","8958911","163","163","0","163","163","34069","34069","0","34069","34069","10848","10848","0","10848","10848","13799","13799","0","13799","13799","13799","13799","0","13799","13799","220901_Q9_N4"
"","http://www.bangladesh.gov.bd/president","1","0","0","0","0","0","1710","1710","0","1710","1710","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_SA_N5"
"","http://www.pmo.gov.bd/","1","0","0","0","0","0","5033","5033","0","5033","5033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_CE_N6"
"","http://www.boibd.org/","1","3496","3496","0","3496","3496","5070","5070","0","5070","5070","859","859","0","859","859","2033","2033","0","2033","2033","501390","501390","0","501390","501390","9","9","0","9","9","3481","3481","0","3481","3481","2033","2033","0","2033","2033","2033","2033","0","2033","2033","2033","2033","0","2033","2033","220901_24_N7"
"","http://www.bangladeshonline.com/pb","1","0","0","0","0","0","748","748","0","748","748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_R8_N8"
"","http://www.epzbangladesh.org.bd/","1","0","0","0","0","0","266","266","0","266","266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_3N_N9"
"","http://www.ssf.gov.bd/","1","0","0","0","0","0","570","570","0","570","570","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_WE_NA"
"","http://www.ngoab.gov.bd/","1","17236","17236","0","17236","17236","27407","27407","0","27407","27407","2375","2375","0","2375","2375","4700","4700","0","4700","4700","10537363","10537363","0","10537363","10537363","115","115","0","115","115","17207","17207","0","17207","17207","5121","5121","0","5121","5121","8017","8017","0","8017","8017","8017","8017","0","8017","8017","220901_NV_NB"
"","http://www.cabinet.gov.bd/","1","26503","26503","0","26503","26503","26794","26794","0","26794","26794","1512","1512","0","1512","1512","4433","4433","0","4433","4433","5748337","5748337","0","5748337","5748337","138","138","0","138","138","26473","26473","0","26473","26473","7472","7472","0","7472","7472","23034","23034","0","23034","23034","23034","23034","0","23034","23034","220901_99_NC"
"","http://www.dcdhaka.gov.bd/","1","0","0","0","0","0","2487","2487","0","2487","2487","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_56_ND"
"","http://www.lgd.gov.bd/","1","102611","102611","0","102611","102611","105733","105733","0","105733","105733","3314","3314","0","3314","3314","10151","10151","0","10151","10151","20859118","20859118","0","20859118","20859118","215","215","0","215","215","102591","102591","0","102591","102591","11290","11290","0","11290","11290","18877","18877","0","18877","18877","18877","18877","0","18877","18877","220901_4R_NE"
"","http://www.dhakacity.org/","1","7092","7092","0","7092","7092","7609","7609","0","7609","7609","2325","2325","0","2325","2325","4551","4551","0","4551","4551","520286","520286","0","520286","520286","39","39","0","39","39","7065","7065","0","7065","7065","4695","4695","0","4695","4695","5951","5951","0","5951","5951","5668","5668","0","5668","5668","220901_YW_NF"
"","http://www.dphe.gov.bd/","1","46624","46624","0","46624","46624","46940","46940","0","46940","46940","1113","1113","0","1113","1113","3867","3867","0","3867","3867","10753016","10753016","0","10753016","10753016","139","139","0","139","139","46607","46607","0","46607","46607","9828","9828","0","9828","9828","51150","51150","0","51150","51150","51150","51150","0","51150","51150","220901_9S_NG"
"","http://www.dwasa.org.bd/","1","29533","29533","0","29533","29533","38414","38414","0","38414","38414","4667","4667","0","4667","4667","7850","7850","0","7850","7850","12848495","12848495","0","12848495","12848495","139","139","0","139","139","29393","29393","0","29393","29393","8762","8762","0","8762","8762","13683","13683","0","13683","13683","13683","13683","0","13683","13683","220901_HS_NH"
"","http://www.moestab.gov.bd/","1","0","0","0","0","0","669","669","0","669","669","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_M2_NJ"
"","http://www.bangladesh.gov.bd/mos/bpatc/index.htm","1","0","0","0","0","0","55102","55102","0","55102","55102","4902","4902","0","4902","4902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_9N_NK"
"","http://www.bangladesh.gov.bd/mos/bcsa/index.htm","1","0","0","0","0","0","6302","6302","0","6302","6302","6300","6300","0","6300","6300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_CH_NM"
"","http://www.bangladesh.gov.bd/bpscs/index.htm","1","0","0","0","0","0","456","456","0","456","456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_FZ_NN"
"","http://www.mof.gov.bd/","1","26982","26982","0","26982","26982","30255","30255","0","30255","30255","1956","1956","0","1956","1956","4750","4750","0","4750","4750","15042259","15042259","0","15042259","15042259","146","146","0","146","146","26963","26963","0","26963","26963","8709","8709","0","8709","8709","34453","34453","0","34453","34453","34453","34453","0","34453","34453","220901_GZ_NP"
"","http://www.bangladesh-bank.org/","1","2783","2783","0","2783","2783","7779","7779","0","7779","7779","1269","1269","0","1269","1269","3584","3584","0","3584","3584","6562","6562","0","6562","6562","5","5","0","5","5","2763","2763","0","2763","2763","5206","5206","0","5206","5206","5650","5650","0","5650","5650","5650","5650","0","5650","5650","220901_ZR_NQ"
"","http://www.nbr-bd.org/","1","7890","7890","0","7890","7890","9071","9071","0","9071","9071","3497","3497","0","3497","3497","5650","5650","0","5650","5650","1695726","1695726","0","1695726","1695726","19","19","0","19","19","7869","7869","0","7869","7869","6267","6267","0","6267","6267","6367","6367","0","6367","6367","6367","6367","0","6367","6367","220901_67_NR"
"","http://www.ribec.org/","1","0","0","0","0","0","10077","10077","0","10077","10077","4889","4889","0","4889","4889","10967","10967","0","10967","10967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10967","10967","0","10967","10967","10967","10967","0","10967","10967","10967","10967","0","10967","10967","220901_P0_NS"
"","http://www.erd.gov.bd/","1","27321","27321","0","27321","27321","29394","29394","0","29394","29394","1717","1717","0","1717","1717","4432","4432","0","4432","4432","13284493","13284493","0","13284493","13284493","143","143","0","143","143","27249","27249","0","27249","27249","13381","13381","0","13381","13381","27366","27366","0","27366","27366","27366","27366","0","27366","27366","220901_GK_NT"
"","http://www.parliamentofbangladesh.org/","1","2357","2357","0","2357","2357","4945","4945","0","4945","4945","1507","1507","0","1507","1507","2000","2000","0","2000","2000","25053","25053","0","25053","25053","3","3","0","3","3","2349","2349","0","2349","2349","2316","2316","0","2316","2316","6400","6400","0","6400","6400","3371","3371","0","3371","3371","220901_A9_NV"
"","http://www.bangladesh.gov.bd/moa/moa.html","1","0","0","0","0","0","4940","4940","0","4940","4940","4938","4938","0","4938","4938","7351","7351","0","7351","7351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7351","7351","0","7351","7351","7351","7351","0","7351","7351","7351","7351","0","7351","7351","220901_M1_NW"
"","http://www.saic-dhaka.org/","1","32498","32498","0","32498","32498","32498","32498","0","32498","32498","664","664","0","664","664","0","0","0","0","0","116175","116175","0","116175","116175","4","4","0","4","4","32462","32462","0","32462","32462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_HV_NX"
"","http://www.bangladesh.gov.bd/moa/dae/dae.htm","1","0","0","0","0","0","4840","4840","0","4840","4840","4826","4826","0","4826","4826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_Z3_NY"
"","http://www.barc.gov.bd/","1","41715","41715","0","41715","41715","49828","49828","0","49828","49828","1525","1525","0","1525","1525","3864","3864","0","3864","3864","20426217","20426217","0","20426217","20426217","164","164","0","164","164","41641","41641","0","41641","41641","4634","4634","0","4634","4634","9351","9351","0","9351","9351","9351","9351","0","9351","9351","220901_8G_NZ"
"","http://www.mofdm.gov.bd/","1","0","0","0","0","0","465","465","0","465","465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_DD_P0"
"","http://www.dmb.gov.bd/","1","0","0","0","0","0","30085","30085","0","30085","30085","5360","5360","0","5360","5360","30916","30916","0","30916","30916","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30916","30916","0","30916","30916","30916","30916","0","30916","30916","30916","30916","0","30916","30916","220901_2B_P1"
"","http://www.mopt.gov.bd/","1","0","0","0","0","0","440","440","0","440","440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_98_P2"
"","http://www.bttb.gov.bd/","1","0","0","0","0","0","10129","10129","0","10129","10129","4618","4618","0","4618","4618","10935","10935","0","10935","10935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10935","10935","0","10935","10935","10935","10935","0","10935","10935","10935","10935","0","10935","10935","220901_64_P3"
"","http://www.moi-gob.org/","1","2826","2826","0","2826","2826","4771","4771","0","4771","4771","1124","1124","0","1124","1124","1949","1949","0","1949","1949","16560","16560","0","16560","16560","7","7","0","7","7","1500","1500","0","1500","1500","1965","1965","0","1965","1965","2750","2750","0","2750","2750","2750","2750","0","2750","2750","220901_ZT_P4"
"","http://www.betar.org.bd/","1","0","0","0","0","0","326","326","0","326","326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_RM_P5"
"","http://www.mora.gov.bd/","1","30748","30748","0","30748","30748","33677","33677","0","33677","33677","2095","2095","0","2095","2095","7068","7068","0","7068","7068","15601111","15601111","0","15601111","15601111","172","172","0","172","172","30729","30729","0","30729","30729","15999","15999","0","15999","15999","35950","35950","0","35950","35950","35950","35950","0","35950","35950","220901_MY_P6"
"","http://www.islamicfoundation-bd.org/","1","3011","3011","0","3011","3011","7278","7278","0","7278","7278","746","746","0","746","746","4724","4724","0","4724","4724","251083","251083","0","251083","251083","4","4","0","4","4","2964","2964","0","2964","2964","4792","4792","0","4792","4792","7250","7250","0","7250","7250","7250","7250","0","7250","7250","220901_AS_P7"
"","http://www.bdhajjinfo.org/","1","4010","4010","0","4010","4010","4660","4660","0","4660","4660","1982","1982","0","1982","1982","3151","3151","0","3151","3151","131889","131889","0","131889","131889","19","19","0","19","19","3912","3912","0","3912","3912","3214","3214","0","3214","3214","3387","3387","0","3387","3387","3387","3387","0","3387","3387","220901_FY_P8"
