"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://agriculture.canada.ca/en","1","9510","9510","0","9510","9510","11864","11864","0","11864","11864","2278","2278","0","2278","2278","5616","5616","0","5616","5616","1000963","1000963","0","1000963","1000963","45","45","0","45","45","9483","9483","0","9483","9483","5962","5962","0","5962","5962","9000","9000","0","9000","9000","9000","9000","0","9000","9000","220831_XS_RT"
"","https://www.atlanticpilotage.com/","1","9361","9361","0","9361","9361","9736","9736","0","9736","9736","3709","3709","0","3709","3709","100","100","0","100","100","2200431","2200431","0","2200431","2200431","129","129","0","129","129","2734","2734","0","2734","2734","8840","8840","0","8840","8840","9216","9216","0","9216","9216","9216","9216","0","9216","9216","220831_H6_RV"
"","http://www.aecl.ca/en/home/default.aspx","1","8488","8488","0","8488","8488","9719","9719","0","9719","9719","4234","4234","0","4234","4234","100","100","0","100","100","2040390","2040390","0","2040390","2040390","65","65","0","65","65","8459","8459","0","8459","8459","8202","8202","0","8202","8202","8966","8966","0","8966","8966","8966","8966","0","8966","8966","220831_TR_RW"
"","http://www.oag-bvg.gc.ca/internet/English/admin_e_41.html","1","9555","9555","0","9555","9555","10211","10211","0","10211","10211","3774","3774","0","3774","3774","67","67","0","67","67","2749208","2749208","0","2749208","2749208","30","30","0","30","30","9534","9534","0","9534","9534","8503","8503","0","8503","8503","9716","9716","0","9716","9716","9716","9716","0","9716","9716","220831_06_RX"
"","http://www.bankofcanada.ca/","1","9816","9816","0","9816","9816","14663","14663","0","14663","14663","4685","4685","0","4685","4685","100","100","0","100","100","1341680","1341680","0","1341680","1341680","62","62","0","62","62","9785","9785","0","9785","9785","6965","6965","0","6965","6965","10018","10018","0","10018","10018","10018","10018","0","10018","10018","220831_F0_RY"
"","http://www.bluewaterbridge.ca/home","1","0","0","0","0","0","2934","2934","0","2934","2934","0","0","0","0","0","67","67","0","67","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","377","377","0","377","377","3118","3118","0","3118","3118","3118","3118","0","3118","3118","220831_KB_RZ"
"","http://www.bdc.ca/EN/Pages/home.aspx","1","18323","18323","0","18323","18323","23261","23261","0","23261","23261","3011","3011","0","3011","3011","100","100","0","100","100","2016180","2016180","0","2016180","2016180","106","106","0","106","106","18287","18287","0","18287","18287","5543","5543","0","5543","5543","7834","7834","0","7834","7834","5934","5934","0","5934","5934","220831_C9_S0"
"","http://cart-crac.gc.ca/index-en.html","1","0","0","0","0","0","18369","18369","0","18369","18369","5974","5974","0","5974","5974","83","83","0","83","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","849","849","0","849","849","18933","18933","0","18933","18933","18933","18933","0","18933","18933","220831_68_S1"
"","http://cafmuseum.techno-science.ca/en/index.php","1","0","0","0","0","0","1329","1329","0","1329","1329","0","0","0","0","0","118","118","0","118","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","138","0","138","138","2084","2084","0","2084","2084","1817","1817","0","1817","1817","220831_MR_S2"
"","http://casmuseum.techno-science.ca/en/index.php","1","0","0","0","0","0","3373","3373","0","3373","3373","0","0","0","0","0","84","84","0","84","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124","124","0","124","124","4001","4001","0","4001","4001","3783","3783","0","3783","3783","220831_HH_S3"
