"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://feacc.gov.et","1","73598","73598","0","73598","73598","76703","76703","0","76703","76703","17600","17600","0","17600","17600","27388","27388","0","27388","27388","6282458","6282458","0","6282458","6282458","216","216","0","216","216","73576","73576","0","73576","73576","44087","44087","0","44087","44087","48750","48750","0","48750","48750","48750","48750","0","48750","48750","220901_B4_RV"
"","https://nbe.gov.et","1","7228","7228","0","7228","7228","8508","8508","0","8508","8508","2978","2978","0","2978","2978","5133","5133","0","5133","5133","1684337","1684337","0","1684337","1684337","69","69","0","69","69","7198","7198","0","7198","7198","5324","5324","0","5324","5324","7316","7316","0","7316","7316","7316","7316","0","7316","7316","220901_N0_RW"
"","https://aabethospital.gov.et","1","4855","4855","0","4855","4855","7196","7196","0","7196","7196","1408","1408","0","1408","1408","3317","3317","0","3317","3317","1149650","1149650","0","1149650","1149650","72","72","0","72","72","4829","4829","0","4829","4829","3392","3392","0","3392","3392","4500","4500","0","4500","4500","4500","4500","0","4500","4500","220901_6Q_RX"
"","https://acso.gov.et","1","14770","14770","0","14770","14770","15791","15791","0","15791","15791","3144","3144","0","3144","3144","5733","5733","0","5733","5733","8768281","8768281","0","8768281","8768281","132","132","0","132","132","14748","14748","0","14748","14748","12522","12522","0","12522","12522","14184","14184","0","14184","14184","14184","14184","0","14184","14184","220901_PS_RY"
"","https://hararcity.gov.et","1","9501","9501","0","9501","9501","15512","15512","0","15512","15512","4093","4093","0","4093","4093","6267","6267","0","6267","6267","3154286","3154286","0","3154286","3154286","124","124","0","124","124","9467","9467","0","9467","9467","13604","13604","0","13604","13604","19300","19300","0","19300","19300","19300","19300","0","19300","19300","220901_0P_RZ"
"","https://aflexacademy.gov.et","1","7201","7201","0","7201","7201","11217","11217","0","11217","11217","3307","3307","0","3307","3307","5133","5133","0","5133","5133","823129","823129","0","823129","823129","58","58","0","58","58","7181","7181","0","7181","7181","5265","5265","0","5265","5265","6083","6083","0","6083","6083","6083","6083","0","6083","6083","220901_BK_S0"
"","https://ewca.gov.et","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2151","2151","0","2151","2151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2151","2151","0","2151","2151","2151","2151","0","2151","2151","2151","2151","0","2151","2151","220901_PH_S1"
"","http://www.poessa.gov.et","1","9863","9863","0","9863","9863","10335","10335","0","10335","10335","3062","3062","0","3062","3062","7634","7634","0","7634","7634","1923591","1923591","0","1923591","1923591","48","48","0","48","48","9833","9833","0","9833","9833","8949","8949","0","8949","8949","13201","13201","0","13201","13201","13002","13002","0","13002","13002","220901_YX_S2"
"","https://aawsa.gov.et","1","51424","51424","0","51424","51424","61972","61972","0","61972","61972","5995","5995","0","5995","5995","15592","15592","0","15592","15592","8093636","8093636","0","8093636","8093636","147","147","0","147","147","51405","51405","0","51405","51405","33486","33486","0","33486","33486","66851","66851","0","66851","66851","66851","66851","0","66851","66851","220901_DZ_S3"
"","https://www.psetse.gov.et","1","18284","18284","0","18284","18284","19717","19717","0","19717","19717","5428","5428","0","5428","5428","10476","10476","0","10476","10476","3661748","3661748","0","3661748","3661748","135","135","0","135","135","18266","18266","0","18266","18266","13919","13919","0","13919","13919","23890","23890","0","23890","23890","23503","23503","0","23503","23503","220901_2C_S4"
"","https://www.cci.gov.et","1","14901","14901","0","14901","14901","15559","15559","0","15559","15559","1593","1593","0","1593","1593","3883","3883","0","3883","3883","25771259","25771259","0","25771259","25771259","67","67","0","67","67","14887","14887","0","14887","14887","4903","4903","0","4903","4903","15628","15628","0","15628","15628","15628","15628","0","15628","15628","220901_X9_S5"
"","https://www.ipdc.gov.et","1","19174","19174","0","19174","19174","32115","32115","0","32115","32115","3773","3773","0","3773","3773","7500","7500","0","7500","7500","17778265","17778265","0","17778265","17778265","122","122","0","122","122","19150","19150","0","19150","19150","22714","22714","0","22714","22714","38634","38634","0","38634","38634","38000","38000","0","38000","38000","220901_6V_S6"
"","https://addismayor.gov.et","1","13307","13307","0","13307","13307","26078","26078","0","26078","26078","3023","3023","0","3023","3023","9217","9217","0","9217","9217","2092954","2092954","0","2092954","2092954","169","169","0","169","169","13286","13286","0","13286","13286","14268","14268","0","14268","14268","17135","17135","0","17135","17135","17135","17135","0","17135","17135","220901_VB_S7"
"","https://hosanna.gov.et","1","12269","12269","0","12269","12269","14843","14843","0","14843","14843","1730","1730","0","1730","1730","4167","4167","0","4167","4167","16296470","16296470","0","16296470","16296470","63","63","0","63","63","12248","12248","0","12248","12248","12593","12593","0","12593","12593","18517","18517","0","18517","18517","18517","18517","0","18517","18517","220901_S4_S8"
"","https://pmo.gov.et","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2268","2268","0","2268","2268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2268","2268","0","2268","2268","2268","2268","0","2268","2268","2268","2268","0","2268","2268","220901_NS_S9"
"","https://moe.gov.et","1","35685","35685","0","35685","35685","35685","35685","0","35685","35685","1422","1422","0","1422","1422","3383","3383","0","3383","3383","5998109","5998109","0","5998109","5998109","115","115","0","115","115","35670","35670","0","35670","35670","5199","5199","0","5199","5199","9766","9766","0","9766","9766","9766","9766","0","9766","9766","220901_KF_SA"
"","https://bahirdar.gov.et","1","12101","12101","0","12101","12101","17244","17244","0","17244","17244","1760","1760","0","1760","1760","5133","5133","0","5133","5133","3479596","3479596","0","3479596","3479596","131","131","0","131","131","12071","12071","0","12071","12071","12429","12429","0","12429","12429","17212","17212","0","17212","17212","17212","17212","0","17212","17212","220901_15_SB"
"","https://jigjiga.gov.et","1","8472","8472","0","8472","8472","14156","14156","0","14156","14156","1581","1581","0","1581","1581","3633","3633","0","3633","3633","2828980","2828980","0","2828980","2828980","50","50","0","50","50","8455","8455","0","8455","8455","9041","9041","0","9041","9041","16134","16134","0","16134","16134","16000","16000","0","16000","16000","220901_D8_SC"
"","https://mail.ipdc.gov.et","1","2849","2849","0","2849","2849","4174","4174","0","4174","4174","2055","2055","0","2055","2055","2752","2752","0","2752","2752","22919","22919","0","22919","22919","4","4","0","4","4","2834","2834","0","2834","2834","2755","2755","0","2755","2755","2917","2917","0","2917","2917","2917","2917","0","2917","2917","220901_94_SD"
"","https://gambela.gov.et","1","5987","5987","0","5987","5987","6404","6404","0","6404","6404","1557","1557","0","1557","1557","3483","3483","0","3483","3483","2528974","2528974","0","2528974","2528974","31","31","0","31","31","5955","5955","0","5955","5955","6386","6386","0","6386","6386","7308","7308","0","7308","7308","6917","6917","0","6917","6917","220901_XP_SE"
"","http://csc.gov.et","1","0","0","0","0","0","54538","54538","0","54538","54538","1453","1453","0","1453","1453","6501","6501","0","6501","6501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37909","37909","0","37909","37909","120533","120533","0","120533","120533","120533","120533","0","120533","120533","220901_CX_SF"
"","https://etrade.gov.et","1","9530","9530","0","9530","9530","10655","10655","0","10655","10655","1856","1856","0","1856","1856","2816","2816","0","2816","2816","860204","860204","0","860204","860204","27","27","0","27","27","9510","9510","0","9510","9510","7364","7364","0","7364","7364","14409","14409","0","14409","14409","14409","14409","0","14409","14409","220901_H6_SG"
"","https://dfp.gov.et","1","25937","25937","0","25937","25937","25937","25937","0","25937","25937","2575","2575","0","2575","2575","7051","7051","0","7051","7051","2438950","2438950","0","2438950","2438950","161","161","0","161","161","25921","25921","0","25921","25921","7662","7662","0","7662","7662","8967","8967","0","8967","8967","8967","8967","0","8967","8967","220901_Y3_SH"
"","http://ecwc.gov.et","1","15346","15346","0","15346","15346","18332","18332","0","18332","18332","6208","6208","0","6208","6208","9134","9134","0","9134","9134","1412003","1412003","0","1412003","1412003","61","61","0","61","61","15321","15321","0","15321","15321","12129","12129","0","12129","12129","19084","19084","0","19084","19084","19084","19084","0","19084","19084","220901_QX_SJ"
"","https://efbpims.gov.et","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2245","2245","0","2245","2245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2245","2245","0","2245","2245","2245","2245","0","2245","2245","2245","2245","0","2245","2245","220901_EC_SK"
"","https://dessie.gov.et","1","7085","7085","0","7085","7085","7560","7560","0","7560","7560","2446","2446","0","2446","2446","4449","4449","0","4449","4449","2032511","2032511","0","2032511","2032511","36","36","0","36","36","7059","7059","0","7059","7059","7727","7727","0","7727","7727","9299","9299","0","9299","9299","8233","8233","0","8233","8233","220901_BV_SM"
"","https://cityaddisababa.gov.et","1","44183","44183","0","44183","44183","54385","54385","0","54385","54385","1545","1545","0","1545","1545","5967","5967","0","5967","5967","5771225","5771225","0","5771225","5771225","245","245","0","245","245","44157","44157","0","44157","44157","31265","31265","0","31265","31265","54423","54423","0","54423","54423","54423","54423","0","54423","54423","220901_SB_SN"
"","https://www.eservices.gov.et","1","11145","11145","0","11145","11145","14094","14094","0","14094","14094","2131","2131","0","2131","2131","3101","3101","0","3101","3101","1086873","1086873","0","1086873","1086873","30","30","0","30","30","11121","11121","0","11121","11121","4467","4467","0","4467","4467","13000","13000","0","13000","13000","13000","13000","0","13000","13000","220901_K0_SP"
"","https://ephi.gov.et","1","16631","16631","0","16631","16631","19734","19734","0","19734","19734","2821","2821","0","2821","2821","5283","5283","0","5283","5283","15842751","15842751","0","15842751","15842751","139","139","0","139","139","16605","16605","0","16605","16605","11731","11731","0","11731","11731","18666","18666","0","18666","18666","18666","18666","0","18666","18666","220901_SN_SQ"
"","http://www.neaea.gov.et","1","0","0","0","0","0","19309","19309","0","19309","19309","4146","4146","0","4146","4146","20116","20116","0","20116","20116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20116","20116","0","20116","20116","20116","20116","0","20116","20116","20116","20116","0","20116","20116","220901_MP_SR"
"","https://www.evisa.gov.et","1","11138","11138","0","11138","11138","13828","13828","0","13828","13828","3252","3252","0","3252","3252","5784","5784","0","5784","5784","3659673","3659673","0","3659673","3659673","65","65","0","65","65","11108","11108","0","11108","11108","6112","6112","0","6112","6112","13567","13567","0","13567","13567","13567","13567","0","13567","13567","220901_V3_SS"
"","https://epss.gov.et","1","26529","26529","0","26529","26529","32256","32256","0","32256","32256","10869","10869","0","10869","10869","14206","14206","0","14206","14206","9043003","9043003","0","9043003","9043003","166","166","0","166","166","26487","26487","0","26487","26487","20626","20626","0","20626","20626","31200","31200","0","31200","31200","31200","31200","0","31200","31200","220901_XR_ST"
"","http://www.oeb.gov.et","1","17356","17356","0","17356","17356","17696","17696","0","17696","17696","855","855","0","855","855","4149","4149","0","4149","4149","40349861","40349861","0","40349861","40349861","114","114","0","114","114","17334","17334","0","17334","17334","7483","7483","0","7483","7483","12933","12933","0","12933","12933","10566","10566","0","10566","10566","220901_VX_SV"
"","https://ahri.gov.et","1","19432","19432","0","19432","19432","29609","29609","0","29609","29609","2989","2989","0","2989","2989","5700","5700","0","5700","5700","5053056","5053056","0","5053056","5053056","139","139","0","139","139","19416","19416","0","19416","19416","12033","12033","0","12033","12033","23433","23433","0","23433","23433","23400","23400","0","23400","23400","220901_27_SW"
"","http://cpd.moh.gov.et","1","7368","7368","0","7368","7368","13651","13651","0","13651","13651","805","805","0","805","805","5668","5668","0","5668","5668","1164780","1164780","0","1164780","1164780","22","22","0","22","22","6372","6372","0","6372","6372","12884","12884","0","12884","12884","15818","15818","0","15818","15818","15818","15818","0","15818","15818","220901_YC_SX"
"","https://www.ema.gov.et","1","14192","14192","0","14192","14192","14870","14870","0","14870","14870","1734","1734","0","1734","1734","8449","8449","0","8449","8449","5842177","5842177","0","5842177","5842177","75","75","0","75","75","14171","14171","0","14171","14171","9295","9295","0","9295","9295","18666","18666","0","18666","18666","18666","18666","0","18666","18666","220901_NE_SY"
"","http://www.cic.gov.et","1","33862","33862","0","33862","33862","34283","34283","0","34283","34283","19268","19268","0","19268","19268","21248","21248","0","21248","21248","3624345","3624345","0","3624345","3624345","49","49","0","49","49","33835","33835","0","33835","33835","23077","23077","0","23077","23077","38166","38166","0","38166","38166","25516","25516","0","25516","25516","220901_W1_SZ"
"","https://lmis.jobscommission.gov.et","1","7983","7983","0","7983","7983","17901","17901","0","17901","17901","2045","2045","0","2045","2045","5301","5301","0","5301","5301","3759410","3759410","0","3759410","3759410","34","34","0","34","34","7970","7970","0","7970","7970","5620","5620","0","5620","5620","19901","19901","0","19901","19901","17634","17634","0","17634","17634","220901_NF_T0"
"","http://ecc.gov.et","1","14183","14183","0","14183","14183","14550","14550","0","14550","14550","1979","1979","0","1979","1979","7468","7468","0","7468","7468","6030317","6030317","0","6030317","6030317","104","104","0","104","104","14163","14163","0","14163","14163","8152","8152","0","8152","8152","18605","18605","0","18605","18605","18605","18605","0","18605","18605","220901_RP_T1"
"","http://www.emi.gov.et","1","12516","12516","0","12516","12516","12912","12912","0","12912","12912","1946","1946","0","1946","1946","8567","8567","0","8567","8567","4981291","4981291","0","4981291","4981291","47","47","0","47","47","12497","12497","0","12497","12497","9295","9295","0","9295","9295","10200","10200","0","10200","10200","10184","10184","0","10184","10184","220901_VQ_T2"
"","http://www.dars.gov.et","1","11370","11370","0","11370","11370","12721","12721","0","12721","12721","5267","5267","0","5267","5267","8049","8049","0","8049","8049","1348188","1348188","0","1348188","1348188","66","66","0","66","66","11340","11340","0","11340","11340","8255","8255","0","8255","8255","15133","15133","0","15133","15133","9217","9217","0","9217","9217","220901_KE_T3"
"","http://www.lmiset.gov.et","1","7628","7628","0","7628","7628","11502","11502","0","11502","11502","1052","1052","0","1052","1052","5634","5634","0","5634","5634","1334859","1334859","0","1334859","1334859","30","30","0","30","30","6281","6281","0","6281","6281","6273","6273","0","6273","6273","8450","8450","0","8450","8450","8450","8450","0","8450","8450","220901_5K_T4"
"","https://ejphn.ephi.gov.et","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2149","2149","0","2149","2149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2149","2149","0","2149","2149","2149","2149","0","2149","2149","2149","2149","0","2149","2149","220901_NR_T5"
"220901_80_T6"
"","http://www.moct.gov.et","1","23374","23374","0","23374","23374","29730","29730","0","29730","29730","6761","6761","0","6761","6761","15303","15303","0","15303","15303","968622","968622","0","968622","968622","147","147","0","147","147","23346","23346","0","23346","23346","15619","15619","0","15619","15619","26617","26617","0","26617","26617","16934","16934","0","16934","16934","220901_DF_T7"
"","http://www.southtourism.gov.et","1","0","0","0","0","0","2037","2037","0","2037","2037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220901_MR_T8"
"","https://www.oromiatourism.gov.et","1","27099","27099","0","27099","27099","27495","27495","0","27495","27495","9136","9136","0","9136","9136","13378","13378","0","13378","13378","11237490","11237490","0","11237490","11237490","150","150","0","150","150","27081","27081","0","27081","27081","28811","28811","0","28811","28811","28844","28844","0","28844","28844","28844","28844","0","28844","28844","220901_5R_T9"
