"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.ghana.gov.gh/","1","10718","10718","0","10718","10718","15189","15189","0","15189","15189","5069","5069","0","5069","5069","6907","6907","0","6907","6907","1144666","1144666","0","1144666","1144666","29","29","0","29","29","10717","10717","0","10717","10717","8026","8026","0","8026","8026","12732","12732","0","12732","12732","12732","12732","0","12732","12732","220412_JX_AM"
"","http://presidency.gov.gh/","1","0","0","0","0","0","59742","59742","0","59742","59742","0","0","0","0","0","5448","5448","0","5448","5448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9547","9547","0","9547","9547","9633","9633","0","9633","9633","9633","9633","0","9633","9633","220412_JE_AN"
"","https://passport.mfa.gov.gh/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220412_CF_AP"
"","http://www.statsghana.gov.gh/","1","67451","67451","0","67451","67451","69621","69621","0","69621","69621","33672","33672","0","33672","33672","5704","5704","0","5704","5704","3863052","3863052","0","3863052","3863052","96","96","0","96","96","67451","67451","0","67451","67451","51771","51771","0","51771","51771","76535","76535","0","76535","76535","76535","76535","0","76535","76535","220412_CA_AQ"
"","https://www.eservices.gov.gh/:&nbsp","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400","1400","0","1400","1400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4904","4904","0","4904","4904","4978","4978","0","4978","4978","4978","4978","0","4978","4978","220412_GF_AR"
"","https://www.ghanastradinghub.gov.gh/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220412_9Y_AS"
"","http://www.yea.gov.gh/","1","61998","61998","0","61998","61998","67028","67028","0","67028","67028","16379","16379","0","16379","16379","5332","5332","0","5332","5332","3306872","3306872","0","3306872","3306872","91","91","0","91","91","61998","61998","0","61998","61998","31831","31831","0","31831","31831","67679","67679","0","67679","67679","67679","67679","0","67679","67679","220412_24_AT"
"","https://www.bog.gov.gh/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220412_RA_AV"
"","http://lgs.gov.gh/","1","0","0","0","0","0","70013","70013","0","70013","70013","14191","14191","0","14191","14191","5348","5348","0","5348","5348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9474","9474","0","9474","9474","9560","9560","0","9560","9560","9560","9560","0","9560","9560","220412_11_AW"
"","http://www.ec.gov.gh/","1","21348","21348","0","21348","21348","23280","23280","0","23280","23280","11101","11101","0","11101","11101","2890","2890","0","2890","2890","3215846","3215846","0","3215846","3215846","85","85","0","85","85","21348","21348","0","21348","21348","17484","17484","0","17484","17484","18570","18570","0","18570","18570","18570","18570","0","18570","18570","220412_S0_AX"
