"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://keralaregistration.gov.in","1","16817","16817","0","16817","16817","17629","17629","0","17629","17629","2084","2084","0","2084","2084","3325","3325","0","3325","3325","2035527","2035527","0","2035527","2035527","82","82","0","82","82","16816","16816","0","16816","16816","9553","9553","0","9553","9553","20957","20957","0","20957","20957","12040","12040","0","12040","12040","220514_57_57"
"","https://navodaya.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6196","6196","0","6196","6196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10240","10240","0","10240","10240","10326","10326","0","10326","10326","10326","10326","0","10326","10326","220514_MW_58"
"","https://mod.gov.in","1","39962","39962","0","39962","39962","41018","41018","0","41018","41018","3443","3443","0","3443","3443","5399","5399","0","5399","5399","4524271","4524271","0","4524271","4524271","127","127","0","127","127","39962","39962","0","39962","39962","5534","5534","0","5534","5534","40526","40526","0","40526","40526","7337","7337","0","7337","7337","220514_T8_59"
"","https://ksb.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7219","7219","0","7219","7219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11360","11360","0","11360","11360","11447","11447","0","11447","11447","11447","11447","0","11447","11447","220514_HF_5A"
"","https://ukpsc.gov.in","1","9976","9976","0","9976","9976","10816","10816","0","10816","10816","7445","7445","0","7445","7445","7495","7495","0","7495","7495","303515","303515","0","303515","303515","13","13","0","13","13","9976","9976","0","9976","9976","8628","8628","0","8628","8628","11699","11699","0","11699","11699","11699","11699","0","11699","11699","220514_55_5B"
"","https://msme.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6809","6809","0","6809","6809","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10891","10891","0","10891","10891","10982","10982","0","10982","10982","10982","10982","0","10982","10982","220514_87_5C"
"","https://india.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8065","8065","0","8065","8065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12107","12107","0","12107","12107","12192","12192","0","12192","12192","12192","12192","0","12192","12192","220514_YM_5D"
"","https://gstcouncil.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7315","7315","0","7315","7315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11232","11232","0","11232","11232","11315","11315","0","11315","11315","11315","11315","0","11315","11315","220514_Z4_5E"
"","https://highcourtchd.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7697","7697","0","7697","7697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11790","11790","0","11790","11790","11877","11877","0","11877","11877","11877","11877","0","11877","11877","220514_1S_5F"
"","https://labour.gov.in","1","40219","40219","0","40219","40219","44809","44809","0","44809","44809","2335","2335","0","2335","2335","7096","7096","0","7096","7096","7774954","7774954","0","7774954","7774954","131","131","0","131","131","40219","40219","0","40219","40219","27322","27322","0","27322","27322","47973","47973","0","47973","47973","47973","47973","0","47973","47973","220514_J3_5G"
"","https://epfindia.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6703","6703","0","6703","6703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10786","10786","0","10786","10786","10872","10872","0","10872","10872","10872","10872","0","10872","10872","220514_9X_5H"
"","https://igod.gov.in","1","37258","37258","0","37258","37258","37258","37258","0","37258","37258","0","0","0","0","0","7132","7132","0","7132","7132","0","0","0","0","0","0","0","0","0","0","37258","37258","0","37258","37258","34204","34204","0","34204","34204","37332","37332","0","37332","37332","37332","37332","0","37332","37332","220514_R5_5J"
"","https://udyamregistration.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7783","7783","0","7783","7783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11523","11523","0","11523","11523","11991","11991","0","11991","11991","11991","11991","0","11991","11991","220514_5X_5K"
"","http://nationalarchives.gov.in","1","0","0","0","0","0","17631","17631","0","17631","17631","0","0","0","0","0","6893","6893","0","6893","6893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10956","10956","0","10956","10956","11068","11068","0","11068","11068","11068","11068","0","11068","11068","220514_K3_5M"
"","https://rac.gov.in","1","8214","8214","0","8214","8214","8437","8437","0","8437","8437","2444","2444","0","2444","2444","4405","4405","0","4405","4405","4089651","4089651","0","4089651","4089651","41","41","0","41","41","8214","8214","0","8214","8214","5715","5715","0","5715","5715","11921","11921","0","11921","11921","11921","11921","0","11921","11921","220514_P7_5N"
"","https://bbmp.gov.in","1","11009","11009","0","11009","11009","11676","11676","0","11676","11676","3145","3145","0","3145","3145","6349","6349","0","6349","6349","1443138","1443138","0","1443138","1443138","84","84","0","84","84","11009","11009","0","11009","11009","10408","10408","0","10408","10408","10502","10502","0","10502","10502","10502","10502","0","10502","10502","220514_NK_5P"
"","https://pgportal.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7233","7233","0","7233","7233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11368","11368","0","11368","11368","11456","11456","0","11456","11456","11456","11456","0","11456","11456","220514_K3_5Q"
"","https://udiseplus.gov.in","1","0","0","0","0","0","77104","77104","0","77104","77104","55916","55916","0","55916","55916","7120","7120","0","7120","7120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11065","11065","0","11065","11065","11149","11149","0","11149","11149","11149","11149","0","11149","11149","220514_WP_5R"
"","https://diksha.gov.in","1","0","0","0","0","0","691","691","0","691","691","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220514_F9_5S"
"","https://goaonline.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10488","10488","0","10488","10488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14563","14563","0","14563","14563","14644","14644","0","14644","14644","14644","14644","0","14644","14644","220514_CT_5T"
"","https://uidai.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6995","6995","0","6995","6995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11100","11100","0","11100","11100","11186","11186","0","11186","11186","11186","11186","0","11186","11186","220514_2Z_5V"
"","http://gmch.gov.in","1","0","0","0","0","0","19080","19080","0","19080","19080","0","0","0","0","0","5482","5482","0","5482","5482","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9539","9539","0","9539","9539","9629","9629","0","9629","9629","9629","9629","0","9629","9629","220514_2S_5W"
"","https://rtionline.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6809","6809","0","6809","6809","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10787","10787","0","10787","10787","10974","10974","0","10974","10974","9207","9207","0","9207","9207","220514_48_5X"
"","https://jagtial.telangana.gov.in","1","11662","11662","0","11662","11662","12070","12070","0","12070","12070","5376","5376","0","5376","5376","7813","7813","0","7813","7813","1661664","1661664","0","1661664","1661664","78","78","0","78","78","11663","11663","0","11663","11663","10693","10693","0","10693","10693","11870","11870","0","11870","11870","11870","11870","0","11870","11870","220514_RB_5Y"
"","https://www.ghmc.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6607","6607","0","6607","6607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10717","10717","0","10717","10717","10826","10826","0","10826","10826","6607","6607","0","6607","6607","220514_G1_5Z"
"","https://gpssb.gujarat.gov.in","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7185","7185","0","7185","7185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11314","11314","0","11314","11314","11400","11400","0","11400","11400","11400","11400","0","11400","11400","220514_JP_60"
"","http://www.iimc.gov.in","1","38213","38213","0","38213","38213","38424","38424","0","38424","38424","2331","2331","0","2331","2331","3951","3951","0","3951","3951","11167825","11167825","0","11167825","11167825","85","85","0","85","85","38213","38213","0","38213","38213","12621","12621","0","12621","12621","41737","41737","0","41737","41737","35004","35004","0","35004","35004","220514_HY_61"
"","https://dbt.mahapocra.gov.in","1","11744","11744","0","11744","11744","11937","11937","0","11937","11937","5136","5136","0","5136","5136","5864","5864","0","5864","5864","13107504","13107504","0","13107504","13107504","80","80","0","80","80","11744","11744","0","11744","11744","12167","12167","0","12167","12167","12762","12762","0","12762","12762","12762","12762","0","12762","12762","220514_ST_62"
"","https://www.mha.gov.in","1","117567","117567","0","117567","117567","120715","120715","0","120715","120715","3870","3870","0","3870","3870","6264","6264","0","6264","6264","218204471","218204471","0","218204471","218204471","938","938","0","938","938","117567","117567","0","117567","117567","55685","55685","0","55685","55685","120724","120724","0","120724","120724","51022","51022","0","51022","51022","220514_RY_63"
