"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.rapportiparlamento.gov.it/it/","1","6254","6254","0","6254","6254","6776","6776","0","6776","6776","1931","1931","0","1931","1931","4033","4033","0","4033","4033","893978","893978","0","893978","893978","24","24","0","24","24","6224","6224","0","6224","6224","4565","4565","0","4565","4565","5101","5101","0","5101","5101","5101","5101","0","5101","5101","220901_9P_W0"
"","http://www.riformeistituzionali.gov.it/it/","1","11119","11119","0","11119","11119","12495","12495","0","12495","12495","2339","2339","0","2339","2339","4566","4566","0","4566","4566","2030736","2030736","0","2030736","2030736","32","32","0","32","32","11096","11096","0","11096","11096","5752","5752","0","5752","5752","6551","6551","0","6551","6551","6350","6350","0","6350","6350","220901_24_W1"
"","https://innovazione.gov.it","1","6753","6753","0","6753","6753","7289","7289","0","7289","7289","1066","1066","0","1066","1066","4016","4016","0","4016","4016","467401","467401","0","467401","467401","18","18","0","18","18","6737","6737","0","6737","6737","4016","4016","0","4016","4016","4016","4016","0","4016","4016","4016","4016","0","4016","4016","220901_CQ_W2"
"","http://www.funzionepubblica.gov.it/","1","12093","12093","0","12093","12093","15322","15322","0","15322","15322","3940","3940","0","3940","3940","5583","5583","0","5583","5583","4892779","4892779","0","4892779","4892779","62","62","0","62","62","12076","12076","0","12076","12076","6185","6185","0","6185","6185","8234","8234","0","8234","8234","8234","8234","0","8234","8234","220901_BQ_W3"
"","http://www.affariregionali.it/","1","6395","6395","0","6395","6395","6691","6691","0","6691","6691","1938","1938","0","1938","1938","3750","3750","0","3750","3750","3588099","3588099","0","3588099","3588099","54","54","0","54","54","6368","6368","0","6368","6368","4154","4154","0","4154","4154","4667","4667","0","4667","4667","4667","4667","0","4667","4667","220901_YS_W4"
"","http://www.ministroperilsud.gov.it/it/","1","7240","7240","0","7240","7240","7749","7749","0","7749","7749","1930","1930","0","1930","1930","4150","4150","0","4150","4150","3140663","3140663","0","3140663","3140663","55","55","0","55","55","7217","7217","0","7217","7217","5690","5690","0","5690","5690","6233","6233","0","6233","6233","6233","6233","0","6233","6233","220901_1V_W5"
"","http://www.giovani.gov.it/it/","1","7732","7732","0","7732","7732","7998","7998","0","7998","7998","1950","1950","0","1950","1950","4185","4185","0","4185","4185","2249068","2249068","0","2249068","2249068","66","66","0","66","66","7707","7707","0","7707","7707","5563","5563","0","5563","5563","6233","6233","0","6233","6233","6233","6233","0","6233","6233","220901_4T_W6"
"","http://famiglia.governo.it/","1","6143","6143","0","6143","6143","7360","7360","0","7360","7360","1990","1990","0","1990","1990","4132","4132","0","4132","4132","1629163","1629163","0","1629163","1629163","31","31","0","31","31","6128","6128","0","6128","6128","5079","5079","0","5079","5079","5916","5916","0","5916","5916","5916","5916","0","5916","5916","220901_N0_W7"
"","http://www.pariopportunita.gov.it/","1","7501","7501","0","7501","7501","7821","7821","0","7821","7821","3205","3205","0","3205","3205","5999","5999","0","5999","5999","2022564","2022564","0","2022564","2022564","54","54","0","54","54","7474","7474","0","7474","7474","6025","6025","0","6025","6025","7500","7500","0","7500","7500","6650","6650","0","6650","6650","220901_0F_W8"
"","http://disabilita.governo.it/","1","6431","6431","0","6431","6431","7039","7039","0","7039","7039","2061","2061","0","2061","2061","4183","4183","0","4183","4183","3184615","3184615","0","3184615","3184615","21","21","0","21","21","6411","6411","0","6411","6411","5267","5267","0","5267","5267","6616","6616","0","6616","6616","6616","6616","0","6616","6616","220901_12_W9"
