"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.co-opbank.co.ke","1","0","0","0","0","0","62116","62116","0","62116","62116","4336","4336","0","4336","4336","4464","4464","0","4464","4464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7530","7530","0","7530","7530","8641","8641","0","8641","8641","8641","8641","0","8641","8641","220410_16_6"
"","http://kenyapage.net/sports/bball.html","1","6618","6618","0","6618","6618","6618","6618","0","6618","6618","0","0","0","0","0","0","0","0","0","0","215","215","0","215","215","2","2","0","2","2","6618","6618","0","6618","6618","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_3Z_7"
"","http://www.anu.ac.ke","1","32657","32657","0","32657","32657","44289","44289","0","44289","44289","7564","7564","0","7564","7564","2090","2090","0","2090","2090","12091521","12091521","0","12091521","12091521","161","161","0","161","161","32657","32657","0","32657","32657","20078","20078","0","20078","20078","44996","44996","0","44996","44996","44996","44996","0","44996","44996","220410_6M_8"
"","http://www.athleticskenya.or.ke/","1","19426","19426","0","19426","19426","21973","21973","0","21973","21973","5094","5094","0","5094","5094","681","681","0","681","681","4485303","4485303","0","4485303","4485303","86","86","0","86","86","19426","19426","0","19426","19426","10977","10977","0","10977","10977","19391","19391","0","19391","19391","19391","19391","0","19391","19391","220410_G0_9"
"","http://www.avu.org/","1","0","0","0","0","0","4637","4637","0","4637","4637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_VX_A"
"","http://www.barclays.com/africa/kenya/","1","28015","28015","0","28015","28015","30591","30591","0","30591","30591","17902","17902","0","17902","17902","3657","3657","0","3657","3657","1389700","1389700","0","1389700","1389700","38","38","0","38","38","28015","28015","0","28015","28015","22575","22575","0","22575","22575","29349","29349","0","29349","29349","29349","29349","0","29349","29349","220410_KC_B"
"","http://www.cba.co.ke/","1","0","0","0","0","0","1916","1916","0","1916","1916","0","0","0","0","0","2831","2831","0","2831","2831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2831","2831","0","2831","2831","2831","2831","0","2831","2831","2831","2831","0","2831","2831","220410_ZW_C"
"","http://www.cbik.or.ke/","1","0","0","0","0","0","1476","1476","0","1476","1476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_3H_D"
"","http://www.cck.go.ke/","1","0","0","0","0","0","655","655","0","655","655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_85_E"
"","http://www.centralbank.go.ke/","1","28912","28912","0","28912","28912","31938","31938","0","31938","31938","8644","8644","0","8644","8644","1570","1570","0","1570","1570","5256108","5256108","0","5256108","5256108","80","80","0","80","80","28912","28912","0","28912","28912","12595","12595","0","12595","12595","29642","29642","0","29642","29642","29642","29642","0","29642","29642","220410_QT_F"
"","http://www.cle.or.ke/","1","28173","28173","0","28173","28173","30731","30731","0","30731","30731","10791","10791","0","10791","10791","2169","2169","0","2169","2169","2707137","2707137","0","2707137","2707137","128","128","0","128","128","28173","28173","0","28173","28173","22268","22268","0","22268","22268","22545","22545","0","22545","22545","22545","22545","0","22545","22545","220410_P1_G"
"","http://www.cma.or.ke/","1","55081","55081","0","55081","55081","56200","56200","0","56200","56200","10359","10359","0","10359","10359","574","574","0","574","574","24195812","24195812","0","24195812","24195812","139","139","0","139","139","55081","55081","0","55081","55081","29108","29108","0","29108","29108","58503","58503","0","58503","58503","58503","58503","0","58503","58503","220410_2M_H"
"","http://www.coffeeboard.co.ke/","1","0","0","0","0","0","604","604","0","604","604","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_2W_J"
"","http://www.comesa.int","1","26634","26634","0","26634","26634","31567","31567","0","31567","31567","10018","10018","0","10018","10018","5554","5554","0","5554","5554","6777670","6777670","0","6777670","6777670","87","87","0","87","87","26634","26634","0","26634","26634","24250","24250","0","24250","24250","24822","24822","0","24822","24822","24822","24822","0","24822","24822","220410_YG_K"
"","http://www.communication.go.ke/","1","0","0","0","0","0","1074","1074","0","1074","1074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_9Y_M"
"","http://www.coordination.go.ke","1","0","0","0","0","0","30065","30065","0","30065","30065","0","0","0","0","0","5607","5607","0","5607","5607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9559","9559","0","9559","9559","9642","9642","0","9642","9642","9642","9642","0","9642","9642","220410_8Z_N"
"","http://www.copyright.go.ke/","1","0","0","0","0","0","30057","30057","0","30057","30057","0","0","0","0","0","2031","2031","0","2031","2031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5670","5670","0","5670","5670","6144","6144","0","6144","6144","6144","6144","0","6144","6144","220410_7J_P"
"","http://www.crimeresearch.go.ke/","1","46733","46733","0","46733","46733","63700","63700","0","63700","63700","14339","14339","0","14339","14339","2702","2702","0","2702","2702","10558552","10558552","0","10558552","10558552","162","162","0","162","162","46733","46733","0","46733","46733","35205","35205","0","35205","35205","58156","58156","0","58156","58156","58156","58156","0","58156","58156","220410_TT_Q"
"","http://www.cuea.edu","1","26004","26004","0","26004","26004","32085","32085","0","32085","32085","2658","2658","0","2658","2658","8269","8269","0","8269","8269","2860225","2860225","0","2860225","2860225","138","138","0","138","138","26004","26004","0","26004","26004","23416","23416","0","23416","23416","35468","35468","0","35468","35468","35468","35468","0","35468","35468","220410_BT_R"
"","http://www.daystarus.org/","1","28087","28087","0","28087","28087","40907","40907","0","40907","40907","5700","5700","0","5700","5700","168","168","0","168","168","4618765","4618765","0","4618765","4618765","58","58","0","58","58","28087","28087","0","28087","28087","15405","15405","0","15405","15405","18786","18786","0","18786","18786","18786","18786","0","18786","18786","220410_S9_S"
"","http://www.depositinsurance.go.ke/","1","0","0","0","0","0","20065","20065","0","20065","20065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_GK_T"
"","http://www.devolutionplanning.go.ke","1","0","0","0","0","0","964","964","0","964","964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_G8_V"
"","http://www.eabc.info","1","3362","3362","0","3362","3362","4885","4885","0","4885","4885","1848","1848","0","1848","1848","2702","2702","0","2702","2702","6202","6202","0","6202","6202","3","3","0","3","3","3362","3362","0","3362","3362","2810","2810","0","2810","2810","3383","3383","0","3383","3383","3383","3383","0","3383","3383","220410_55_W"
"","http://www.eac.int","1","24777","24777","0","24777","24777","27019","27019","0","27019","27019","2526","2526","0","2526","2526","8647","8647","0","8647","8647","12909299","12909299","0","12909299","12909299","145","145","0","145","145","24777","24777","0","24777","24777","14489","14489","0","14489","14489","18199","18199","0","18199","18199","18199","18199","0","18199","18199","220410_1C_X"
"","http://www.eastafricansafarirally.com/","1","21139","21139","0","21139","21139","23842","23842","0","23842","23842","4371","4371","0","4371","4371","5600","5600","0","5600","5600","16846520","16846520","0","16846520","16846520","104","104","0","104","104","21139","21139","0","21139","21139","12604","12604","0","12604","12604","21243","21243","0","21243","21243","21243","21243","0","21243","21243","220410_J9_Y"
"","http://www.ecotourismkenya.org/","1","23332","23332","0","23332","23332","24019","24019","0","24019","24019","10260","10260","0","10260","10260","5726","5726","0","5726","5726","3497154","3497154","0","3497154","3497154","136","136","0","136","136","23332","23332","0","23332","23332","19317","19317","0","19317","19317","22691","22691","0","22691","22691","22691","22691","0","22691","22691","220410_EF_Z"
"","http://www.egerton.ac.ke/","1","39020","39020","0","39020","39020","43114","43114","0","43114","43114","17476","17476","0","17476","17476","5591","5591","0","5591","5591","7436066","7436066","0","7436066","7436066","124","124","0","124","124","39019","39019","0","39019","39019","34715","34715","0","34715","34715","46248","46248","0","46248","46248","46248","46248","0","46248","46248","220410_G7_10"
"","http://www.epckenya.org/","1","13143","13143","0","13143","13143","13988","13988","0","13988","13988","8687","8687","0","8687","8687","3692","3692","0","3692","3692","406054","406054","0","406054","406054","30","30","0","30","30","13144","13144","0","13144","13144","11343","11343","0","11343","11343","13444","13444","0","13444","13444","13444","13444","0","13444","13444","220410_F2_11"
"","http://www.epzakenya.com/","1","21867","21867","0","21867","21867","22907","22907","0","22907","22907","9081","9081","0","9081","9081","5337","5337","0","5337","5337","4626848","4626848","0","4626848","4626848","78","78","0","78","78","21866","21866","0","21866","21866","21561","21561","0","21561","21561","22165","22165","0","22165","22165","22165","22165","0","22165","22165","220410_X9_12"
"","http://www.equitybank.co.ke/","1","0","0","0","0","0","4567","4567","0","4567","4567","0","0","0","0","0","2594","2594","0","2594","2594","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2620","2620","0","2620","2620","2626","2626","0","2626","2626","2626","2626","0","2626","2626","220410_92_13"
"","http://www.fke-kenya.org/","1","0","0","0","0","0","20067","20067","0","20067","20067","0","0","0","0","0","1289","1289","0","1289","1289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4955","4955","0","4955","4955","5034","5034","0","5034","5034","5034","5034","0","5034","5034","220410_XT_14"
"","http://www.fpeak.org/","1","27144","27144","0","27144","27144","32633","32633","0","32633","32633","11416","11416","0","11416","11416","5941","5941","0","5941","5941","5858651","5858651","0","5858651","5858651","169","169","0","169","169","27145","27145","0","27145","27145","15030","15030","0","15030","15030","17785","17785","0","17785","17785","17785","17785","0","17785","17785","220410_SR_15"
"","http://www.hcda.or.ke/","1","10995","10995","0","10995","10995","11769","11769","0","11769","11769","7488","7488","0","7488","7488","1862","1862","0","1862","1862","280069","280069","0","280069","280069","9","9","0","9","9","10995","10995","0","10995","10995","9677","9677","0","9677","9677","11149","11149","0","11149","11149","11149","11149","0","11149","11149","220410_WF_16"
"","http://www.ict.go.ke","1","0","0","0","0","0","2172","2172","0","2172","2172","0","0","0","0","0","3139","3139","0","3139","3139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6646","6646","0","6646","6646","6736","6736","0","6736","6736","3139","3139","0","3139","3139","220410_6V_17"
"","http://www.icta.go.ke/","1","19320","19320","0","19320","19320","22281","22281","0","22281","22281","5641","5641","0","5641","5641","5795","5795","0","5795","5795","3152069","3152069","0","3152069","3152069","62","62","0","62","62","19320","19320","0","19320","19320","24468","24468","0","24468","24468","25167","25167","0","25167","25167","25167","25167","0","25167","25167","220410_8Y_18"
"","http://www.igad.org","1","29890","29890","0","29890","29890","30888","30888","0","30888","30888","8047","8047","0","8047","8047","5671","5671","0","5671","5671","4514898","4514898","0","4514898","4514898","152","152","0","152","152","29890","29890","0","29890","29890","15683","15683","0","15683","15683","17752","17752","0","17752","17752","17120","17120","0","17120","17120","220410_JB_19"
"","http://www.immigration.go.ke/","1","24410","24410","0","24410","24410","25031","25031","0","25031","25031","8958","8958","0","8958","8958","5079","5079","0","5079","5079","6210180","6210180","0","6210180","6210180","57","57","0","57","57","24410","24410","0","24410","24410","25516","25516","0","25516","25516","28668","28668","0","28668","28668","28668","28668","0","28668","28668","220410_8R_1A"
"","http://www.industrialization.go.ke","1","17480","17480","0","17480","17480","19650","19650","0","19650","19650","8101","8101","0","8101","8101","2230","2230","0","2230","2230","1257817","1257817","0","1257817","1257817","76","76","0","76","76","17479","17479","0","17479","17479","13476","13476","0","13476","13476","15213","15213","0","15213","15213","14839","14839","0","14839","14839","220410_BP_1B"
"","http://www.invest.go.ke/","1","23172","23172","0","23172","23172","24236","24236","0","24236","24236","4219","4219","0","4219","4219","2844","2844","0","2844","2844","4746480","4746480","0","4746480","4746480","116","116","0","116","116","23172","23172","0","23172","23172","20258","20258","0","20258","20258","21324","21324","0","21324","21324","21324","21324","0","21324","21324","220410_MK_1C"
"","http://www.investmentkenya.com/","1","15179","15179","0","15179","15179","19984","19984","0","19984","19984","6603","6603","0","6603","6603","9409","9409","0","9409","9409","1401636","1401636","0","1401636","1401636","58","58","0","58","58","15178","15178","0","15178","15178","13872","13872","0","13872","13872","15792","15792","0","15792","15792","15792","15792","0","15792","15792","220410_47_1D"
"","http://www.jkuat.ac.ke/","1","16513","16513","0","16513","16513","18509","18509","0","18509","18509","9267","9267","0","9267","9267","2982","2982","0","2982","2982","1160784","1160784","0","1160784","1160784","47","47","0","47","47","16513","16513","0","16513","16513","12734","12734","0","12734","12734","21095","21095","0","21095","21095","21095","21095","0","21095","21095","220410_DE_1E"
"","http://www.judiciary.go.ke","1","0","0","0","0","0","6453","6453","0","6453","6453","0","0","0","0","0","3630","3630","0","3630","3630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4724","4724","0","4724","4724","6932","6932","0","6932","6932","6932","6932","0","6932","6932","220410_RA_1F"
"","http://www.kabarak.ac.ke","1","0","0","0","0","0","20076","20076","0","20076","20076","0","0","0","0","0","4394","4394","0","4394","4394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8302","8302","0","8302","8302","8387","8387","0","8387","8387","8387","8387","0","8387","8387","220410_2T_1G"
"","http://www.katokenya.org/","1","37442","37442","0","37442","37442","42654","42654","0","42654","42654","15530","15530","0","15530","15530","3071","3071","0","3071","3071","4591646","4591646","0","4591646","4591646","176","176","0","176","176","37443","37443","0","37443","37443","34031","34031","0","34031","34031","44701","44701","0","44701","44701","44701","44701","0","44701","44701","220410_86_1H"
"","http://www.kbc.com/","1","14277","14277","0","14277","14277","29657","29657","0","29657","29657","5005","5005","0","5005","5005","1329","1329","0","1329","1329","893151","893151","0","893151","893151","63","63","0","63","63","14277","14277","0","14277","14277","17961","17961","0","17961","17961","29273","29273","0","29273","29273","29175","29175","0","29175","29175","220410_RA_1J"
"","http://www.kcb.co.ke/","1","0","0","0","0","0","33237","33237","0","33237","33237","0","0","0","0","0","1726","1726","0","1726","1726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9051","9051","0","9051","9051","9326","9326","0","9326","9326","9326","9326","0","9326","9326","220410_BB_1K"
