"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","start_epoch","main_frame","domContentLoadedEventStart","domContentLoadedEventEnd","URL","connections","final_base_page_request","final_base_page_request_id","final_url","firstPaint","firstContentfulPaint","firstImagePaint","domInteractive","TTFB","basePageSSLTime","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.UpdateLayerTree","cpu.EventDispatch","cpu.CommitLoad","cpu.EvaluateScript","cpu.v8.compile","cpu.ParseHTML","cpu.V8.GC_TIME_TO_SAFEPOINT","cpu.V8.GC_MC_INCREMENTAL_START","cpu.V8.GC_MC_INCREMENTAL_EXTERNAL_PROLOGUE","cpu.V8.GC_MC_INCREMENTAL_EMBEDDER_PROLOGUE","cpu.V8.GC_MC_INCREMENTAL_EXTERNAL_EPILOGUE","cpu.V8.GC_MC_INCREMENTAL","cpu.V8.GC_MC_INCREMENTAL_EMBEDDER_TRACING","cpu.MajorGC","cpu.V8.GC_MC_INCREMENTAL_FINALIZE","cpu.V8.GC_MC_INCREMENTAL_FINALIZE_BODY","cpu.V8.GC_HEAP_PROLOGUE","cpu.V8.GC_HEAP_EXTERNAL_PROLOGUE","cpu.V8.GC_MARK_COMPACTOR","cpu.V8.GC_HEAP_PROLOGUE_SAFEPOINT","cpu.V8.GC_MC_PROLOGUE","cpu.V8.GC_MC_MARK","cpu.V8.GC_MC_MARK_FINISH_INCREMENTAL","cpu.V8.GC_MC_MARK_ROOTS","cpu.V8.GC_MC_MARK_MAIN","cpu.V8.GC_MC_MARK_WEAK_CLOSURE","cpu.V8.GC_MC_MARK_EMBEDDER_TRACING_CLOSURE","cpu.V8.GC_MC_MARK_EMBEDDER_TRACING","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_EPHEMERON","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_EPHEMERON_MARKING","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_WEAK_HANDLES","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_WEAK_ROOTS","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_HARMONY","cpu.V8.GC_MC_CLEAR","cpu.V8.GC_MC_CLEAR_STRING_TABLE","cpu.V8.GC_MC_CLEAR_FLUSHABLE_BYTECODE","cpu.V8.GC_MC_CLEAR_FLUSHED_JS_FUNCTIONS","cpu.V8.GC_MC_CLEAR_WEAK_LISTS","cpu.V8.GC_MC_CLEAR_MAPS","cpu.V8.GC_MC_CLEAR_WEAK_REFERENCES","cpu.V8.GC_MC_CLEAR_WEAK_COLLECTIONS","cpu.V8.GC_MC_SWEEP","cpu.V8.GC_MC_EVACUATE","cpu.V8.GC_MC_EVACUATE_PROLOGUE","cpu.V8.GC_MC_EVACUATE_COPY","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_TO_NEW_ROOTS","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_SLOTS_MAIN","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_WEAK","cpu.V8.GC_MC_EVACUATE_REBALANCE","cpu.V8.GC_MC_EVACUATE_CLEAN_UP","cpu.V8.GC_MC_EVACUATE_EPILOGUE","cpu.V8.GC_MC_FINISH","cpu.V8.GC_MC_FINISH_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_MC_EPILOGUE","cpu.V8.GC_HEAP_EXTERNAL_WEAK_GLOBAL_HANDLES","cpu.V8.GC_HEAP_EMBEDDER_TRACING_EPILOGUE","cpu.V8.GC_HEAP_EPILOGUE_SAFEPOINT","cpu.V8.GC_HEAP_EPILOGUE_REDUCE_NEW_SPACE","cpu.V8.GC_HEAP_EXTERNAL_EPILOGUE","cpu.V8.GC_HEAP_EPILOGUE","cpu.ParseAuthorStyleSheet","cpu.MinorGC","cpu.V8.GC_SCAVENGER_COMPLETE_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_SCAVENGER","cpu.V8.GC_SCAVENGER_SCAVENGE","cpu.V8.GC_MC_COMPLETE_SWEEPING","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_IDENTIFY","cpu.V8.GC_SCAVENGER_SCAVENGE_ROOTS","cpu.V8.GC_SCAVENGER_SCAVENGE_PARALLEL","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_PROCESS","cpu.V8.GC_SCAVENGER_SCAVENGE_FINALIZE","cpu.V8.GC_SCAVENGER_SCAVENGE_UPDATE_REFS","cpu.V8.GC_SCAVENGER_FREE_REMEMBERED_SET","cpu.V8.GC_SCAVENGER_SWEEP_ARRAY_BUFFERS","cpu.UpdateLayoutTree","cpu.Layout","cpu.ResourceChangePriority","cpu.IntersectionObserverController::computeIntersections","cpu.Paint","cpu.largestContentfulPaint::Candidate","cpu.FunctionCall","cpu.HitTest","cpu.MarkDOMContent","cpu.MarkLoad","cpu.TimerFire","cpu.V8.GC_MC_EVACUATE_COPY_PARALLEL","cpu.Idle","tester","osVersion","os_version","browserVersion","browser_version","date","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","visualComplete90","visualComplete95","visualComplete99","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.commitNavigationEnd","chromeUserTiming.domLoading","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.LayoutShift","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.LargestImagePaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","FirstInteractive","TimeToInteractive","maxFID","TTIMeasurementEnd","LastInteractive","FirstCPUIdle","TotalBlockingTime","run","step","effectiveBps","domTime","aft","titleTime","loadEventStart","loadEventEnd","domLoading","server_rtt","testID","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_PARALLEL","chromeUserTiming.redirectStart","chromeUserTiming.redirectEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","firstMeaningfulPaint","cpu.XHRReadyStateChange","cpu.FireAnimationFrame","cpu.v8.produceCache","cpu.XHRLoad","cpu.V8.GC_MC_INCREMENTAL_LAYOUT_CHANGE","cpu.V8.GC_MC_COMPLETE_SWEEP_ARRAY_BUFFERS","document_URL","document_hostname","document_origin","domElements","domComplete","PerformancePaintTiming.first-paint","PerformancePaintTiming.first-contentful-paint","userTime.embed-script-start-pre-delay","userTime.embed-script-end-pre-delay","userTime.embed-script-start-post-delay","userTime.embed-script-end-post-delay","userTimingMeasure.embed-script-load-time-pre-delay","userTimingMeasure.embed-script-load-time-post-delay","userTime","LargestContentfulPaintImageURL","chromeUserTiming.firstMeaningfulPaint","effectiveBpsDoc","cpu.V8.GC_MC_MARK_EMBEDDER_PROLOGUE","cpu.FireIdleCallback","chromeUserTiming.markAsMainFrame","chromeUserTiming.InteractiveTime","userTimingMeasure.Next.js-before-hydration","userTimingMeasure.Next.js-hydration","userTime.addthis.render_toolbox","userTime.addthis.render_layers_thankyou","userTime.addthis.render_layers_sharedock","cpu.ScrollLayer","userTime.tbl_ic","userTime.tbl_inflate_start","userTime.tbl_inflate_end","userTime.loadStarteventUtils","userTime.loadEndeventUtils","userTime.loadStartpixelQueue","userTime.loadEndpixelQueue","userTime.gpt-tag-load","userTime.gpt-first-ad-request","userTime.gpt-first-ad-render","userTimingMeasure.lteu","userTimingMeasure.ltpq",
"62116","0","62116","76572","0","508863","0","50","50","0","44","0","6","0","0","0","1","0","BADEE9044897CE77FE3F0F885FB4C598","11587","11644","https://www.co-opbank.co.ke","6","0","3BFB117DE4E8C1F5FB251ED571446273","https://www.co-opbank.co.ke/","7451","7451","8640","11542","4336","2510","6","9","100","-1","100","-1","-1","90","-1","-1","481329","0","-1","-1","28744","3008","","53","2","0","809","506","106","0","49","0","0","0","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","2","0","1","0","0","0","0","1","0","0","0","0","0","368","282","0","3","35","0","484","4","0","0","18","0","59204","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611515.642","","","","android - chrome","Step_1","131518","8641","8641","4464","7530","7457","8641","8641","8641","text","SPAN","0","31","4369","4411","4411","4415","4419","7450","7450","7450","8639","11542","11587","11643","12094","7450","7450","8639","0.0024127508","0.0024127508","11644","12077","524","112877","112876","11644","2268","1","1","8806","0","0","0","0","0","0","0","220410_16_6","18424","1","79112","371611","22","1061550","89176","14","543400","29652","9","30321","0","0","0","0","0","0","0","0","0","0","2","0","220410_16_6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6618","6618","6618","2915","2915","215","215","2","2","2","0","1","1","0","0","0","1","0","939CEF435FFECA0E6100E2325DB0FD92","6617","6618","http://kenyapage.net/sports/bball.html","2","","","","0","","","6616","0","","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","2","1","0","1","2","3","0","36","0","0","0","19","8","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","4","","","","","","","","","1","70","","","2","","","","0","0","","","6458","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611666.6818","","","","android - chrome","Step_1","14942","0","0","0","0","0","0","0","0","","","0","3931","6375","6431","6431","6434","6435","","","","","6616","6617","6617","","","","","0","0","","","","","","","","1","1","","0","0","0","6618","6618","0","0","220410_3Z_7","215","2","215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_3Z_7","0","28","3931","6618","6618","6618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"32657","32657","44289","327751","272927","12432672","12091521","189","189","161","167","0","22","0","0","0","1","0","2D0C644B3A59FE8DFCB82142687EBC00","18110","18116","http://www.anu.ac.ke","41","1","6B679777D09F7B0EADDA4097E2FE0A67-1","https://www.anu.ac.ke/","14998.5","15396","15771","18109","7564","1452","28","58","100","-1","100","-1","-1","100","-1","-1","1646391","0","-1","-1","10792541","0","","1490","55","3","3417","2190","249","0","44","1","1","0","36","8","4","1","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","28","0","0","0","1","472","2","0","1","1","7","0","1","59","0","0","0","1","0","1379","993","2","172","407","0","5101","44","0","0","501","2","26790","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611700.1119","ecbiz182.inmotionhosting.com","","ns0.accesskenya.com","android - chrome","Step_1","79470","44996","44996","2090","20078","33390","40326","44471","44471","image","IMG","0","2124","7635","7665","7665","7672","7675","14998","15395","14998","15770","18108","18109","18115","44947","15395","24046","24046","0.4113148516","0.2480467495","18116","18116","0","45036","41314","18116","0","1","1","338534","0","0","0","32657","32814","0","0","220410_6M_8","51832","12","191785","1340712","64","4395425","200994","38","1290968","10792867","41","10792867","0","0","0","42650","1","42708","0","0","0","3617","31","5651","220410_6M_8","4","25","2124","32656","32656","32813","15396","66","707","22","18","0","0","https://www.anu.ac.ke/","www.anu.ac.ke","https://www.anu.ac.ke","945","32657","14998.5","15395.6","19658","22088","22089","29699","2430","7610","29699","https://www.anu.ac.ke/wp-content/uploads/2022/03/2022-slides-4.png","15395","481868","","","","","","","","","","","","","","","","","","","","","","",
"19426","19426","21973","132938","124228","4493479","4485303","90","90","86","86","1","3","0","0","0","1","0","6C01F0CB28847D4EA2ED6EDFECFCFBF9","11435","11890","http://www.athleticskenya.or.ke/","21","0","9B85329EF7AB0F34C42263D34FAD9236","http://www.athleticskenya.or.ke/","10323.1","10323","11433","11435","5094","","11","26","31","-1","100","-1","-1","98","-1","11","3628289","2525657","-1","-1","591316","13890","","219","10","1","1516","1323","196","4","9","0","5","0","9","4","3","1","0","0","0","1","0","0","0","0","1","50","0","0","13","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","1","0","1","210","1","0","1","0","1","2","0","19","0","0","0","1","0","508","323","1","58","198","0","3275","92","0","0","58","0","13774","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611799.1509","","","ns3.safaricombusiness.co.ke","android - chrome","Step_1","40637","19391","19391","681","10977","13046","13297","19391","19391","image","IMG","0","28","5169","5219","5220","5223","5225","10323","10323","10323","11432","11434","11435","11889","12838","10323","13275","13275","0.1438408788","0.1438408788","11890","11890","0","24442","20209","11890","0","1","1","266217","0","0","0","19426","19438","0","0","220410_G0_9","159501","6","196036","2832990","28","2913927","637319","22","660512","591316","18","591316","0","0","0","249777","5","249777","0","0","0","22576","11","45961","220410_G0_9","0","","","19426","19426","19437","10617","39","1","0","11","","0","http://www.athleticskenya.or.ke/","www.athleticskenya.or.ke","http://www.athleticskenya.or.ke","345","19426","10323.1","10323.1","","","","","","","","https://www.athleticskenya.or.ke/wp-content/uploads/2022/01/4-d-ays-to-go-768x688.jpg","10617","312957","0","28","","","","","","","","","","","","","","","","","","","","",
"4637","0","4637","1333","0","7631","0","2","2","0","0","0","2","0","0","0","1","0","5A4E7FE9992C300BFE04871D8FA4BA03","0","0","http://www.avu.org/","1","","","","0","","","0","0","","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","0","0","0","4","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","4623","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611859.0277","","","","android - chrome","Step_1","10773","0","0","0","0","0","0","0","0","","","0","25","4407","4520","4520","4523","4526","","","","","","","","","","","","0","0","","","","","","","","1","1","","0","0","0","0","0","0","0","220410_VX_A","7631","1","7631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_VX_A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"28015","28015","30591","201234","179057","1426915","1389700","43","43","38","37","2","4","0","0","0","1","0","D7AB6515FD857E9FBF60AE51EDA4FE0B","27463","27800","http://www.barclays.com/africa/kenya/","4","4","369822AD013EAE4079B7523C1883C514-4","https://home.barclays/contact-us/","21579.8","28615","28615","27462","17902","","3","100","100","-1","100","-1","-1","-1","-1","-1","1421803","0","-1","-1","0","0","Akamai","65","85","1","2276","2289","270","0","5","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","317","0","0","0","0","1","0","0","67","0","2","0","0","0","388","215","","","26","0","1382","2","0","0","11","5","22989","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611888.3695","a118-214-103-77.deploy.static.akamaitechnologies.com","","a11-67.akam.net","android - chrome","Step_1","50232","29349","29349","3657","22575","28617","28617","28617","28617","text","H1","0","15784","17931","17991","17991","17997","18004","21579","28615","21579","28615","27461","27463","27799","","28615","28615","","0","0","27800","27800","0","32416","29304","27800","0","1","1","112452","0","0","0","28015","28023","0","0","220410_KC_B","17976","8","92882","1166020","20","4593240","186607","5","1053117","3081","1","5558","0","0","0","53100","3","53116","0","0","0","131","6","111","220410_KC_B","0","22","15784","28003","28015","28023","28615","16","103","","15","","0","https://home.barclays/contact-us/","home.barclays","https://home.barclays","512","28004","21579.8","28615.4","","","","","","","","","28615","137417","3","","","","","","","","","","","","","","","","","","","","","",
"1916","0","1916","1339","0","0","0","1","1","0","0","0","1","0","0","0","1","0","9FB37BA8989BF9A4876AAD4DD42DCBE5","2421","2421","http://www.cba.co.ke/","1","","","","0","","","2420","0","","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","0","","","","1916","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611957.9146","","","","android - chrome","Step_1","13223","2831","2831","2831","2831","2831","2831","2831","2831","","","2416","98","2547","2440","2440","2442","2443","","","","","2420","2420","2420","","","","","0","0","","","0","2831","2831","","0","1","1","","0","0","0","0","0","0","0","220410_ZW_C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","220410_ZW_C","","","","2421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2441","","","","","","","","","","","","","","","","","","","",
"1476","0","1476","1342","0","0","0","1","1","0","0","0","1","0","0","0","1","0","6605DEAA9FEBB4477E56983CAF9C48F5","2059","2059","http://www.cbik.or.ke/","1","","","","0","","","2058","0","","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","0","","","","1476","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649611989.4248","","","","android - chrome","Step_1","8164","0","0","0","0","0","0","0","0","","","2052","26","2196","2086","2086","2092","2095","","","","","2058","2058","2058","","","","","0","0","","","","","","","","1","1","","0","0","0","0","0","0","0","220410_3H_D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","220410_3H_D","","","","2060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2090","","","","","","","","","","","","","","","","","","","",
"655","0","655","1339","0","0","0","1","1","0","0","0","1","0","0","0","1","0","5AADAF54F0A7C7EDB60342AF8BF2856A","1123","1124","http://www.cck.go.ke/","1","","","","0","","","1123","0","","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","0","","","","655","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649612016.282","","","","android - chrome","Step_1","7166","0","0","0","0","0","0","0","0","","","1119","29","1216","1142","1142","1144","1145","","","","","1123","1123","1123","","","","","0","0","","","","","","","","1","1","","0","0","0","0","0","0","0","220410_85_E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","220410_85_E","","","","1123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1143","","","","","","","","","","","","","","","","","","","",
"28912","28912","31938","147627","136429","5256400","5256108","85","85","80","79","0","6","0","0","0","1","0","80F78F77F104E535620CC1514A997B87","13729","14448","http://www.centralbank.go.ke/","12","1","13EA363A317C98B59374B518ED3C183C-1","https://www.centralbank.go.ke/","11957.8","11958","12618","13728","8644","1169","80","97","29","-1","100","-1","-1","59","-1","51","4238120","3023157","-1","-1","914375","382104","Sucuri Firewall","333","15","2","2210","2133","333","0","50","0","1","0","40","6","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","2","0","1","0","1","419","0","0","0","0","4","0","0","71","1","0","0","0","0","550","784","1","25","108","0","5826","33","0","0","71","4","18719","rumi-HP-ENVY-x360-Convertible-13-ar0xxx","Android 5.1.1","Android 5.1.1","95.0.4638.74","95.0.4638.74","1649612042.4483","cloudproxy10009.sucuri.net","","ns4.safaricombusiness.co.ke","android - chrome","Step_1","52297","29642","29642","1570","12595","12926","13215","15342","15342","background-image","DIV","0","2637","8713","8708","8709","8714","8716","12424","11957","11957","12618","13728","13728","14448","29594","12424","12883","12883","0.2336531883","0.1516174981","14448","14448","0","34957","31976","14448","0","1","1","225654","0","0","0","28912","28977","0","0","220410_QT_F","195487","14","340065","2833114","22","2883852","1136436","11","1189031","914375","21","914375","0","0","0","131956","2","131956","0","0","0","45032","15","91794","220410_QT_F","0","25","2637","28912","28912","28977","12424","107","5","","18","","0","https://www.centralbank.go.ke/","www.centralbank.go.ke","https://www.centralbank.go.ke","1235","28912","11957.8","11957.8","","","","","","","","https://www.centralbank.go.ke/wp-content/uploads/2016/08/SliderLayered22.jpg","12424","259330","","53","","","","","","","","","","","","","","","","","","","","",
