"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://covid19.govt.nz","1","7271","7271","0","7271","7271","8208","8208","0","8208","8208","1118","1118","0","1118","1118","2506","2506","0","2506","2506","1565191","1565191","0","1565191","1565191","39","39","0","39","39","7272","7272","0","7272","7272","2567","2567","0","2567","2567","5459","5459","0","5459","5459","5459","5459","0","5459","5459","220511_5H_TS"
"","https://nzhistory.govt.nz","1","8147","8147","0","8147","8147","8303","8303","0","8303","8303","2170","2170","0","2170","2170","2582","2582","0","2582","2582","1307922","1307922","0","1307922","1307922","122","122","0","122","122","8147","8147","0","8147","8147","5805","5805","0","5805","5805","6741","6741","0","6741","6741","6741","6741","0","6741","6741","220511_0B_TT"
"","https://www.beehive.govt.nz","1","5900","5900","0","5900","5900","6297","6297","0","6297","6297","3148","3148","0","3148","3148","2782","2782","0","2782","2782","332124","332124","0","332124","332124","11","11","0","11","11","5900","5900","0","5900","5900","5249","5249","0","5249","5249","6805","6805","0","6805","6805","6805","6805","0","6805","6805","220511_FY_TV"
"","https://getthru.govt.nz","1","5147","5147","0","5147","5147","6002","6002","0","6002","6002","3229","3229","0","3229","3229","4390","4390","0","4390","4390","108565","108565","0","108565","108565","18","18","0","18","18","5147","5147","0","5147","5147","4731","4731","0","4731","4731","6183","6183","0","6183","6183","6183","6183","0","6183","6183","220511_G6_TW"
"","https://ird.govt.nz","1","11738","11738","0","11738","11738","15926","15926","0","15926","15926","1453","1453","0","1453","1453","4338","4338","0","4338","4338","2405556","2405556","0","2405556","2405556","64","64","0","64","64","11738","11738","0","11738","11738","7006","7006","0","7006","7006","11729","11729","0","11729","11729","11729","11729","0","11729","11729","220511_G7_TX"
"","https://www.workandincome.govt.nz","1","17196","17196","0","17196","17196","18282","18282","0","18282","18282","5961","5961","0","5961","5961","6038","6038","0","6038","6038","1405017","1405017","0","1405017","1405017","40","40","0","40","40","17196","17196","0","17196","17196","9760","9760","0","9760","9760","11551","11551","0","11551","11551","10604","10604","0","10604","10604","220511_P4_TY"
"","https://www.aucklandlibraries.govt.nz","1","17466","17466","0","17466","17466","18072","18072","0","18072","18072","6145","6145","0","6145","6145","6881","6881","0","6881","6881","3025209","3025209","0","3025209","3025209","103","103","0","103","103","17467","17467","0","17467","17467","12229","12229","0","12229","12229","13423","13423","0","13423","13423","13423","13423","0","13423","13423","220511_03_TZ"
"","https://www.nzta.govt.nz","1","0","0","0","0","0","2697","2697","0","2697","2697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220511_28_V0"
"","https://getthru.govt.nz","1","2738","2738","0","2738","2738","3610","3610","0","3610","3610","834","834","0","834","834","1799","1799","0","1799","1799","110746","110746","0","110746","110746","18","18","0","18","18","2738","2738","0","2738","2738","2320","2320","0","2320","2320","4638","4638","0","4638","4638","4638","4638","0","4638","4638","220511_G1_V1"
"","https://my.msd.govt.nz","1","16473","16473","0","16473","16473","16947","16947","0","16947","16947","3296","3296","0","3296","3296","6772","6772","0","6772","6772","1314974","1314974","0","1314974","1314974","30","30","0","30","30","16473","16473","0","16473","16473","14011","14011","0","14011","14011","15681","15681","0","15681","15681","15652","15652","0","15652","15652","220511_BP_V2"
