"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.budgetoffice.gov.ng/","1","24130","24130","0","24130","24130","24663","24663","0","24663","24663","8575","8575","0","8575","8575","5341","5341","0","5341","5341","2199099","2199099","0","2199099","2199099","90","90","0","90","90","24130","24130","0","24130","24130","21533","21533","0","21533","21533","26111","26111","0","26111","26111","25352","25352","0","25352","25352","220410_H6_4H"
"","https://www.bpeng.org/","1","8239","8239","0","8239","8239","9243","9243","0","9243","9243","2842","2842","0","2842","2842","3254","3254","0","3254","3254","2701232","2701232","0","2701232","2701232","22","22","0","22","22","8239","8239","0","8239","8239","7126","7126","0","7126","7126","8519","8519","0","8519","8519","8519","8519","0","8519","8519","220410_ZK_4J"
"","https://www.cenbank.org/","1","21521","21521","0","21521","21521","23996","23996","0","23996","23996","7404","7404","0","7404","7404","5191","5191","0","5191","5191","3788909","3788909","0","3788909","3788909","77","77","0","77","77","21521","21521","0","21521","21521","11260","11260","0","11260","11260","16278","16278","0","16278","16278","16278","16278","0","16278","16278","220410_H6_4K"
"","https://cacnigeria.org/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4098","4098","0","4098","4098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4098","4098","0","4098","4098","4098","4098","0","4098","4098","4098","4098","0","4098","4098","220410_2N_4M"
"","https://www.dmo.gov.ng/","1","35265","35265","0","35265","35265","36695","36695","0","36695","36695","6594","6594","0","6594","6594","3833","3833","0","3833","3833","2789618","2789618","0","2789618","2789618","76","76","0","76","76","35265","35265","0","35265","35265","29430","29430","0","29430","29430","39517","39517","0","39517","39517","36304","36304","0","36304","36304","220410_ZD_4N"
"","https://www.dprnigeria.com/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4444","4444","0","4444","4444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4493","4493","0","4493","4493","4498","4498","0","4498","4498","4498","4498","0","4498","4498","220410_WQ_4P"
"","https://www.efccnigeria.org/","1","10577","10577","0","10577","10577","16505","16505","0","16505","16505","2180","2180","0","2180","2180","4652","4652","0","4652","4652","35973","35973","0","35973","35973","16","16","0","16","16","3558","3558","0","3558","3558","9942","9942","0","9942","9942","18989","18989","0","18989","18989","18989","18989","0","18989","18989","220410_B9_4Q"
"","https://www.ecowas.int/","1","47514","47514","0","47514","47514","50248","50248","0","50248","50248","18285","18285","0","18285","18285","34539","34539","0","34539","34539","6921341","6921341","0","6921341","6921341","103","103","0","103","103","47514","47514","0","47514","47514","41065","41065","0","41065","41065","51972","51972","0","51972","51972","51972","51972","0","51972","51972","220410_3F_4R"
"","https://www.faannigeria.org/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220410_NC_4S"
"","https://www.fha.gov.ng/","1","24489","24489","0","24489","24489","25516","25516","0","25516","25516","4475","4475","0","4475","4475","4700","4700","0","4700","4700","3213082","3213082","0","3213082","3213082","71","71","0","71","71","24489","24489","0","24489","24489","26731","26731","0","26731","26731","27062","27062","0","27062","27062","27062","27062","0","27062","27062","220410_0B_4T"
