"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://nims.nadra.gov.pk/","1","6732","6732","0","6732","6732","7203","7203","0","7203","7203","1507","1507","0","1507","1507","3896","3896","0","3896","3896","741434","741434","0","741434","741434","51","51","0","51","51","6732","6732","0","6732","6732","5210","5210","0","5210","5210","9824","9824","0","9824","9824","8218","8218","0","8218","8218","220404_GV_3W"
"","https://www.nadra.gov.pk/","1","14613","14613","0","14613","14613","15679","15679","0","15679","15679","2489","2489","0","2489","2489","5483","5483","0","5483","5483","2011002","2011002","0","2011002","2011002","58","58","0","58","58","14613","14613","0","14613","14613","17720","17720","0","17720","17720","18519","18519","0","18519","18519","18519","18519","0","18519","18519","220404_17_3X"
"","https://ignite.org.pk/","1","18653","18653","0","18653","18653","46219","46219","0","46219","46219","2266","2266","0","2266","2266","2362","2362","0","2362","2362","5698766","5698766","0","5698766","5698766","110","110","0","110","110","18652","18652","0","18652","18652","15231","15231","0","15231","15231","48667","48667","0","48667","48667","33023","33023","0","33023","33023","220404_E4_3Y"
"","https://www.fbr.gov.pk/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3837","3837","0","3837","3837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3880","3880","0","3880","3880","3888","3888","0","3888","3888","3888","3888","0","3888","3888","220404_E3_3Z"
"","https://citizenportal.gov.pk/","1","14392","14392","0","14392","14392","15267","15267","0","15267","15267","2250","2250","0","2250","2250","5238","5238","0","5238","5238","2201854","2201854","0","2201854","2201854","47","47","0","47","47","14392","14392","0","14392","14392","9149","9149","0","9149","9149","18042","18042","0","18042","18042","14537","14537","0","14537","14537","220404_23_40"
"","http://mofa.gov.pk/","1","0","0","0","0","0","1160","1160","0","1160","1160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220404_ST_41"
"","https://www.nih.org.pk/","1","5685","5685","0","5685","5685","10073","10073","0","10073","10073","2368","2368","0","2368","2368","4585","4585","0","4585","4585","1191405","1191405","0","1191405","1191405","54","54","0","54","54","5685","5685","0","5685","5685","7474","7474","0","7474","7474","13871","13871","0","13871","13871","13871","13871","0","13871","13871","220404_P8_42"
"","https://moitt.gov.pk/","1","35393","35393","0","35393","35393","46158","46158","0","46158","46158","4710","4710","0","4710","4710","5431","5431","0","5431","5431","13089832","13089832","0","13089832","13089832","188","188","0","188","188","35393","35393","0","35393","35393","31932","31932","0","31932","31932","45296","45296","0","45296","45296","45296","45296","0","45296","45296","220404_AF_43"
"","http://www.moib.gov.pk/","1","0","0","0","0","0","2973","2973","0","2973","2973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220404_HQ_44"
"","https://pakistan.gov.pk/","1","0","0","0","0","0","61108","61108","0","61108","61108","3532","3532","0","3532","3532","6687","6687","0","6687","6687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41279","41279","0","41279","41279","119443","119443","0","119443","119443","119443","119443","0","119443","119443","220404_2G_45"
"","http://www.rescue.gov.pk/","1","0","0","0","0","0","98414","98414","0","98414","98414","3490","3490","0","3490","3490","6183","6183","0","6183","6183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16365","16365","0","16365","16365","121051","121051","0","121051","121051","121051","121051","0","121051","121051","220404_D6_46"
"","https://www.piac.com.pk/","1","0","0","0","0","0","93553","93553","0","93553","93553","2578","2578","0","2578","2578","4101","4101","0","4101","4101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18960","18960","0","18960","18960","23266","23266","0","23266","23266","23266","23266","0","23266","23266","220404_2Q_47"
"","https://www.pakrail.gov.pk/","1","79130","79130","0","79130","79130","79964","79964","0","79964","79964","7109","7109","0","7109","7109","5837","5837","0","5837","5837","8723041","8723041","0","8723041","8723041","114","114","0","114","114","79129","79129","0","79129","79129","10875","10875","0","10875","10875","12471","12471","0","12471","12471","12471","12471","0","12471","12471","220404_QZ_48"
"","http://cms.ndma.gov.pk/","1","0","0","0","0","0","74482","74482","0","74482","74482","2021","2021","0","2021","2021","3437","3437","0","3437","3437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10077","10077","0","10077","10077","122903","122903","0","122903","122903","12020","12020","0","12020","12020","220404_TR_49"
"","https://www.supremecourt.gov.pk/","1","37534","37534","0","37534","37534","38115","38115","0","38115","38115","2769","2769","0","2769","2769","5720","5720","0","5720","5720","1817179","1817179","0","1817179","1817179","105","105","0","105","105","37534","37534","0","37534","37534","25363","25363","0","25363","25363","28644","28644","0","28644","28644","28644","28644","0","28644","28644","220404_W6_4A"
"","https://nepra.org.pk/","1","0","0","0","0","0","94255","94255","0","94255","94255","4491","4491","0","4491","4491","5187","5187","0","5187","5187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9320","9320","0","9320","9320","9408","9408","0","9408","9408","9408","9408","0","9408","9408","220404_AJ_4B"
"","https://www.pta.gov.pk/en","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220404_FK_4C"
"","https://www.fpsc.gov.pk/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2854","2854","0","2854","2854","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2877","2877","0","2877","2877","2879","2879","0","2879","2879","2879","2879","0","2879","2879","220404_GT_4D"
"","https://www.ppra.org.pk/","1","30784","30784","0","30784","30784","30993","30993","0","30993","30993","7819","7819","0","7819","7819","4779","4779","0","4779","4779","1152319","1152319","0","1152319","1152319","37","37","0","37","37","30784","30784","0","30784","30784","11621","11621","0","11621","11621","34125","34125","0","34125","34125","27092","27092","0","27092","27092","220404_K4_4E"
"","https://mohtasib.gov.pk/","1","0","0","0","0","0","101092","101092","0","101092","101092","6766","6766","0","6766","6766","5929","5929","0","5929","5929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10021","10021","0","10021","10021","10108","10108","0","10108","10108","10108","10108","0","10108","10108","220404_J8_4F"
"","https://www.agfp.gov.pk/","1","59621","59621","0","59621","59621","61496","61496","0","61496","61496","3165","3165","0","3165","3165","5513","5513","0","5513","5513","2942531","2942531","0","2942531","2942531","53","53","0","53","53","59622","59622","0","59622","59622","8132","8132","0","8132","8132","11065","11065","0","11065","11065","11065","11065","0","11065","11065","220404_EN_4G"
"","https://nitb.gov.pk/","1","58280","58280","0","58280","58280","65532","65532","0","65532","65532","6492","6492","0","6492","6492","5740","5740","0","5740","5740","13719473","13719473","0","13719473","13719473","220","220","0","220","220","58279","58279","0","58279","58279","40172","40172","0","40172","40172","70311","70311","0","70311","70311","70311","70311","0","70311","70311","220404_T7_4H"
"","http://www.mocc.gov.pk/","1","74913","74913","0","74913","74913","103981","103981","0","103981","103981","3237","3237","0","3237","3237","3636","3636","0","3636","3636","18880053","18880053","0","18880053","18880053","162","162","0","162","162","74913","74913","0","74913","74913","81423","81423","0","81423","81423","104320","104320","0","104320","104320","104320","104320","0","104320","104320","220404_FX_4J"
"","http://www.commerce.gov.pk/","1","110849","110849","0","110849","110849","116931","116931","0","116931","116931","30051","30051","0","30051","30051","5463","5463","0","5463","5463","11733185","11733185","0","11733185","11733185","227","227","0","227","227","110849","110849","0","110849","110849","82963","82963","0","82963","82963","116947","116947","0","116947","116947","116947","116947","0","116947","116947","220404_3A_4K"
"","http://www.communication.gov.pk/","1","0","0","0","0","0","1060","1060","0","1060","1060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220404_TX_4M"
"","http://www.mod.gov.pk/","1","0","0","0","0","0","1121","1121","0","1121","1121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220404_HG_4N"
"","http://www.modp.gov.pk/","1","0","0","0","0","0","116139","116139","0","116139","116139","5520","5520","0","5520","5520","5576","5576","0","5576","5576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95394","95394","0","95394","95394","120721","120721","0","120721","120721","120721","120721","0","120721","120721","220404_X1_4P"
"","http://www.mofept.gov.pk/","1","102063","102063","0","102063","102063","105942","105942","0","105942","105942","3586","3586","0","3586","3586","5445","5445","0","5445","5445","14182199","14182199","0","14182199","14182199","214","214","0","214","214","102062","102062","0","102062","102062","77858","77858","0","77858","77858","110990","110990","0","110990","110990","110990","110990","0","110990","110990","220404_6E_4Q"
"","http://www.finance.gov.pk/","1","10033","10033","0","10033","10033","10652","10652","0","10652","10652","1114","1114","0","1114","1114","2946","2946","0","2946","2946","413759","413759","0","413759","413759","65","65","0","65","65","10033","10033","0","10033","10033","3893","3893","0","3893","3893","13699","13699","0","13699","13699","11018","11018","0","11018","11018","220404_3R_4R"
