"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://customs.gov.sg","1","7920","7920","0","7920","7920","8995","8995","0","8995","8995","1111","1111","0","1111","1111","2103","2103","0","2103","2103","4027743","4027743","0","4027743","4027743","64","64","0","64","64","7920","7920","0","7920","7920","2183","2183","0","2183","2183","3121","3121","0","3121","3121","3121","3121","0","3121","3121","220512_MG_2"
"","https://code.gov.sg","1","0","0","0","0","0","10299","10299","0","10299","10299","0","0","0","0","0","7165","7165","0","7165","7165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7165","7165","0","7165","7165","7165","7165","0","7165","7165","7165","7165","0","7165","7165","220512_2A_3"
"","https://redeem.gov.sg","1","2745","2745","0","2745","2745","3031","3031","0","3031","3031","862","862","0","862","862","1828","1828","0","1828","1828","1406207","1406207","0","1406207","1406207","26","26","0","26","26","2745","2745","0","2745","2745","1834","1834","0","1834","1834","2052","2052","0","2052","2052","2052","2052","0","2052","2052","220512_YR_4"
"","https://mytax.iras.gov.sg","1","21525","21525","0","21525","21525","27205","27205","0","27205","27205","10099","10099","0","10099","10099","7959","7959","0","7959","7959","2319939","2319939","0","2319939","2319939","103","103","0","103","103","21525","21525","0","21525","21525","14939","14939","0","14939","14939","18615","18615","0","18615","18615","18615","18615","0","18615","18615","220512_4V_5"
"","https://www.pmo.gov.sg","1","5774","5774","0","5774","5774","6514","6514","0","6514","6514","397","397","0","397","397","6590","6590","0","6590","6590","12382890","12382890","0","12382890","12382890","63","63","0","63","63","5774","5774","0","5774","5774","7123","7123","0","7123","7123","10846","10846","0","10846","10846","10846","10846","0","10846","10846","220512_GY_6"
"","https://www.reach.gov.sg","1","21138","21138","0","21138","21138","34918","34918","0","34918","34918","1109","1109","0","1109","1109","2392","2392","0","2392","2392","6837890","6837890","0","6837890","6837890","178","178","0","178","178","21137","21137","0","21137","21137","22770","22770","0","22770","22770","36948","36948","0","36948","36948","36948","36948","0","36948","36948","220512_BH_7"
"","https://www.onemap.gov.sg","1","12497","12497","0","12497","12497","13586","13586","0","13586","13586","724","724","0","724","724","9560","9560","0","9560","9560","2810664","2810664","0","2810664","2810664","235","235","0","235","235","12497","12497","0","12497","12497","10039","10039","0","10039","10039","12760","12760","0","12760","12760","12760","12760","0","12760","12760","220512_41_8"
"","https://www.ntp.gov.sg","1","8138","8138","0","8138","8138","8540","8540","0","8540","8540","3114","3114","0","3114","3114","4369","4369","0","4369","4369","2438469","2438469","0","2438469","2438469","51","51","0","51","51","8138","8138","0","8138","8138","5242","5242","0","5242","5242","11132","11132","0","11132","11132","6900","6900","0","6900","6900","220512_5B_9"
"","https://homer.gov.sg","1","4055","4055","0","4055","4055","5039","5039","0","5039","5039","1403","1403","0","1403","1403","2413","2413","0","2413","2413","1214039","1214039","0","1214039","1214039","24","24","0","24","24","4055","4055","0","4055","4055","2840","2840","0","2840","2840","6576","6576","0","6576","6576","6576","6576","0","6576","6576","220512_G8_A"
"","https://www.sgdi.gov.sg","1","10086","10086","0","10086","10086","11622","11622","0","11622","11622","2575","2575","0","2575","2575","4288","4288","0","4288","4288","690466","690466","0","690466","690466","61","61","0","61","61","10086","10086","0","10086","10086","5381","5381","0","5381","5381","9798","9798","0","9798","9798","9798","9798","0","9798","9798","220512_1P_B"
