"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.gou.go.ug/","1","36747","36747","0","36747","36747","40224","40224","0","40224","40224","24870","24870","0","24870","24870","806","806","0","806","806","2046221","2046221","0","2046221","2046221","107","107","0","107","107","36747","36747","0","36747","36747","29382","29382","0","29382","29382","39996","39996","0","39996","39996","39996","39996","0","39996","39996","220411_F7_3"
"","http://www.mofa.go.ug/","1","15990","15990","0","15990","15990","26309","26309","0","26309","26309","6946","6946","0","6946","6946","4819","4819","0","4819","4819","658654","658654","0","658654","658654","39","39","0","39","39","15989","15989","0","15989","15989","12401","12401","0","12401","12401","22202","22202","0","22202","22202","22202","22202","0","22202","22202","220411_1H_4"
"","http://www.meaca.go.ug/","1","60836","60836","0","60836","60836","66418","66418","0","66418","66418","15829","15829","0","15829","15829","2569","2569","0","2569","2569","7045100","7045100","0","7045100","7045100","121","121","0","121","121","60836","60836","0","60836","60836","37543","37543","0","37543","37543","66055","66055","0","66055","66055","66055","66055","0","66055","66055","220411_Z4_5"
"","http://www.mia.go.ug/","1","0","0","0","0","0","56628","56628","0","56628","56628","10315","10315","0","10315","10315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220411_S0_6"
"","http://www.mtic.go.ug","1","77966","77966","0","77966","77966","91657","91657","0","91657","91657","9166","9166","0","9166","9166","4551","4551","0","4551","4551","7118348","7118348","0","7118348","7118348","261","261","0","261","261","77966","77966","0","77966","77966","41840","41840","0","41840","41840","84570","84570","0","84570","84570","84570","84570","0","84570","84570","220411_B4_7"
"","http://www.education.go.ug/","1","27496","27496","0","27496","27496","30552","30552","0","30552","30552","4550","4550","0","4550","4550","5499","5499","0","5499","5499","5685759","5685759","0","5685759","5685759","95","95","0","95","95","27496","27496","0","27496","27496","8940","8940","0","8940","8940","13992","13992","0","13992","13992","13288","13288","0","13288","13288","220411_J0_8"
"","http://www.defence.go.ug/","1","0","0","0","0","0","115092","115092","0","115092","115092","2988","2988","0","2988","2988","5177","5177","0","5177","5177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10454","10454","0","10454","10454","32145","32145","0","32145","32145","32145","32145","0","32145","32145","220411_NJ_9"
"","http://www.defence.go.ug","1","0","0","0","0","0","107885","107885","0","107885","107885","4973","4973","0","4973","4973","12673","12673","0","12673","12673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13856","13856","0","13856","13856","21765","21765","0","21765","21765","21765","21765","0","21765","21765","220411_PT_A"
"","http://www.finance.go.ug/","1","69891","69891","0","69891","69891","84576","84576","0","84576","84576","9089","9089","0","9089","9089","14415","14415","0","14415","14415","13001743","13001743","0","13001743","13001743","212","212","0","212","212","69891","69891","0","69891","69891","33318","33318","0","33318","33318","85129","85129","0","85129","85129","85129","85129","0","85129","85129","220411_WV_B"
"","http://www.health.go.ug/","1","28022","28022","0","28022","28022","41147","41147","0","41147","41147","5533","5533","0","5533","5533","4210","4210","0","4210","4210","10005806","10005806","0","10005806","10005806","161","161","0","161","161","28022","28022","0","28022","28022","17772","17772","0","17772","17772","42692","42692","0","42692","42692","42692","42692","0","42692","42692","220411_EQ_C"
"","http://www.judicature.go.ug/","1","0","0","0","0","0","30058","30058","0","30058","30058","0","0","0","0","0","5563","5563","0","5563","5563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9566","9566","0","9566","9566","9650","9650","0","9650","9650","9650","9650","0","9650","9650","220411_3S_D"
"","http://www.publicservice.go.ug","1","0","0","0","0","0","126030","126030","0","126030","126030","18331","18331","0","18331","18331","1911","1911","0","1911","1911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64512","64512","0","64512","64512","92534","92534","0","92534","92534","92534","92534","0","92534","92534","220411_R7_E"
"","http://www.agriculture.go.ug","1","47553","47553","0","47553","47553","55029","55029","0","55029","55029","10607","10607","0","10607","10607","3992","3992","0","3992","3992","8303613","8303613","0","8303613","8303613","156","156","0","156","156","47553","47553","0","47553","47553","29017","29017","0","29017","29017","55440","55440","0","55440","55440","55440","55440","0","55440","55440","220411_7Y_F"
"","http://www.opm.go.ug","1","50186","50186","0","50186","50186","64900","64900","0","64900","64900","31091","31091","0","31091","31091","1817","1817","0","1817","1817","1839536","1839536","0","1839536","1839536","99","99","0","99","99","50186","50186","0","50186","50186","36364","36364","0","36364","36364","40486","40486","0","40486","40486","40486","40486","0","40486","40486","220411_9J_G"
"","http://www.works.go.ug/","1","81046","81046","0","81046","81046","86345","86345","0","86345","86345","10022","10022","0","10022","10022","3739","3739","0","3739","3739","10262528","10262528","0","10262528","10262528","71","71","0","71","71","81047","81047","0","81047","81047","15102","15102","0","15102","15102","22102","22102","0","22102","22102","22102","22102","0","22102","22102","220411_EZ_H"
"","http://www.mglsd.go.ug/","1","0","0","0","0","0","117989","117989","0","117989","117989","12829","12829","0","12829","12829","5828","5828","0","5828","5828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45449","45449","0","45449","45449","123594","123594","0","123594","123594","123594","123594","0","123594","123594","220411_QP_J"
"","http://www.mwe.go.ug","1","0","0","0","0","0","12407","12407","0","12407","12407","0","0","0","0","0","5260","5260","0","5260","5260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8904","8904","0","8904","8904","8989","8989","0","8989","8989","8989","8989","0","8989","8989","220411_JN_K"
"","http://www.mlhud.go.ug/","1","0","0","0","0","0","55419","55419","0","55419","55419","23252","23252","0","23252","23252","6437","6437","0","6437","6437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10344","10344","0","10344","10344","10450","10450","0","10450","10450","10450","10450","0","10450","10450","220411_S1_M"
"","http://www.ict.go.ug/","1","36319","36319","0","36319","36319","37161","37161","0","37161","37161","15469","15469","0","15469","15469","2061","2061","0","2061","2061","2337075","2337075","0","2337075","2337075","57","57","0","57","57","36320","36320","0","36320","36320","34851","34851","0","34851","34851","36332","36332","0","36332","36332","36332","36332","0","36332","36332","220411_10_N"
"","http://www.molg.go.ug/","1","0","0","0","0","0","2006","2006","0","2006","2006","0","0","0","0","0","5843","5843","0","5843","5843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9440","9440","0","9440","9440","9895","9895","0","9895","9895","9895","9895","0","9895","9895","220411_9N_P"
"","http://www.energyandminerals.go.ug/","1","0","0","0","0","0","86220","86220","0","86220","86220","43821","43821","0","43821","43821","52677","52677","0","52677","52677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80705","80705","0","80705","80705","87061","87061","0","87061","87061","87061","87061","0","87061","87061","220411_ZD_Q"
"","http://www.tourism.go.ug","1","14027","14027","0","14027","14027","21202","21202","0","21202","21202","7520","7520","0","7520","7520","4676","4676","0","4676","4676","1097705","1097705","0","1097705","1097705","56","56","0","56","56","14027","14027","0","14027","14027","13944","13944","0","13944","13944","14907","14907","0","14907","14907","14907","14907","0","14907","14907","220411_DF_R"
"","http://www.ugandahighcommissionpretoria.com/Websites-for-Government-Ministries.html","1","9434","9434","0","9434","9434","22179","22179","0","22179","22179","2153","2153","0","2153","2153","4129","4129","0","4129","4129","576353","576353","0","576353","576353","11","11","0","11","11","9435","9435","0","9435","9435","5445","5445","0","5445","5445","9645","9645","0","9645","9645","9645","9645","0","9645","9645","220411_DD_S"
"","http://www.caa.co.ug/","1","0","0","0","0","0","2182","2182","0","2182","2182","0","0","0","0","0","3402","3402","0","3402","3402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3402","3402","0","3402","3402","3402","3402","0","3402","3402","3402","3402","0","3402","3402","220411_HA_T"
"","http://www.dda.or.ug/","1","0","0","0","0","0","746","746","0","746","746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220411_2J_V"
