"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://platinumjubilee.gov.uk","1","6523","6523","0","6523","6523","7154","7154","0","7154","7154","1221","1221","0","1221","1221","2758","2758","0","2758","2758","1757310","1757310","0","1757310","1757310","53","53","0","53","53","6522","6522","0","6522","6522","7087","7087","0","7087","7087","7677","7677","0","7677","7677","7677","7677","0","7677","7677","220511_ER_104"
"","https://maidstone.gov.uk","1","13440","13440","0","13440","13440","13875","13875","0","13875","13875","3986","3986","0","3986","3986","2484","2484","0","2484","2484","4569136","4569136","0","4569136","4569136","64","64","0","64","64","13441","13441","0","13441","13441","10505","10505","0","10505","10505","13469","13469","0","13469","13469","13469","13469","0","13469","13469","220511_1G_105"
"","https://tfl.gov.uk","1","12868","12868","0","12868","12868","15140","15140","0","15140","15140","1180","1180","0","1180","1180","1872","1872","0","1872","1872","1415908","1415908","0","1415908","1415908","54","54","0","54","54","12867","12867","0","12867","12867","8548","8548","0","8548","8548","15232","15232","0","15232","15232","15232","15232","0","15232","15232","220511_QK_106"
"","https://www.teignbridge.gov.uk","1","7837","7837","0","7837","7837","7837","7837","0","7837","7837","3647","3647","0","3647","3647","3221","3221","0","3221","3221","661050","661050","0","661050","661050","31","31","0","31","31","7837","7837","0","7837","7837","5115","5115","0","5115","5115","7309","7309","0","7309","7309","7309","7309","0","7309","7309","220511_JX_107"
"","https://www.nationalcrimeagency.gov.uk","1","6334","6334","0","6334","6334","6443","6443","0","6443","6443","1692","1692","0","1692","1692","3158","3158","0","3158","3158","3368691","3368691","0","3368691","3368691","39","39","0","39","39","6335","6335","0","6335","6335","6019","6019","0","6019","6019","7357","7357","0","7357","7357","7357","7357","0","7357","7357","220511_TA_108"
"","https://ratings.food.gov.uk","1","6573","6573","0","6573","6573","10353","10353","0","10353","10353","2171","2171","0","2171","2171","2388","2388","0","2388","2388","372101","372101","0","372101","372101","25","25","0","25","25","6573","6573","0","6573","6573","6378","6378","0","6378","6378","6920","6920","0","6920","6920","6920","6920","0","6920","6920","220511_KX_109"
"","https://www.cityoflondon.gov.uk","1","16600","16600","0","16600","16600","20940","20940","0","20940","20940","3255","3255","0","3255","3255","3122","3122","0","3122","3122","1629556","1629556","0","1629556","1629556","44","44","0","44","44","16600","16600","0","16600","16600","8182","8182","0","8182","8182","8679","8679","0","8679","8679","8679","8679","0","8679","8679","220511_XF_10A"
"","https://www.leicestershire.gov.uk","1","8526","8526","0","8526","8526","8862","8862","0","8862","8862","2762","2762","0","2762","2762","2412","2412","0","2412","2412","1771749","1771749","0","1771749","1771749","33","33","0","33","33","8526","8526","0","8526","8526","7204","7204","0","7204","7204","8515","8515","0","8515","8515","7655","7655","0","7655","7655","220511_RA_10B"
"","https://www.leeds.gov.uk","1","0","0","0","0","0","2676","2676","0","2676","2676","0","0","0","0","0","2276","2276","0","2276","2276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2276","2276","0","2276","2276","2276","2276","0","2276","2276","2276","2276","0","2276","2276","220511_QA_10C"
"","https://www.gov.uk","1","3203","3203","0","3203","3203","3515","3515","0","3515","3515","775","775","0","775","775","1905","1905","0","1905","1905","216019","216019","0","216019","216019","16","16","0","16","16","3202","3202","0","3202","3202","2170","2170","0","2170","2170","3248","3248","0","3248","3248","3248","3248","0","3248","3248","220511_76_10D"
"","https://www.norwich.gov.uk","1","8072","8072","0","8072","8072","8571","8571","0","8571","8571","4018","4018","0","4018","4018","3103","3103","0","3103","3103","644991","644991","0","644991","644991","28","28","0","28","28","8072","8072","0","8072","8072","8182","8182","0","8182","8182","8570","8570","0","8570","8570","8570","8570","0","8570","8570","220511_KH_10E"
"","https://www.middlesbrough.gov.uk","1","10051","10051","0","10051","10051","10400","10400","0","10400","10400","3387","3387","0","3387","3387","3337","3337","0","3337","3337","764019","764019","0","764019","764019","78","78","0","78","78","10051","10051","0","10051","10051","7373","7373","0","7373","7373","8153","8153","0","8153","8153","8153","8153","0","8153","8153","220511_X7_10F"
"","https://www.westsussex.gov.uk","1","11480","11480","0","11480","11480","14295","14295","0","14295","14295","2198","2198","0","2198","2198","2203","2203","0","2203","2203","1485916","1485916","0","1485916","1485916","28","28","0","28","28","11480","11480","0","11480","11480","10417","10417","0","10417","10417","14355","14355","0","14355","14355","14355","14355","0","14355","14355","220511_31_10G"
"","https://www.leicester.gov.uk","1","16037","16037","0","16037","16037","17469","17469","0","17469","17469","3388","3388","0","3388","3388","3478","3478","0","3478","3478","1573207","1573207","0","1573207","1573207","43","43","0","43","43","16037","16037","0","16037","16037","5146","5146","0","5146","5146","5492","5492","0","5492","5492","5492","5492","0","5492","5492","220511_E1_10H"
"","https://coronavirus.data.gov.uk","1","8899","8899","0","8899","8899","10577","10577","0","10577","10577","2207","2207","0","2207","2207","1870","1870","0","1870","1870","627470","627470","0","627470","627470","24","24","0","24","24","8899","8899","0","8899","8899","5823","5823","0","5823","5823","6009","6009","0","6009","6009","6009","6009","0","6009","6009","220511_41_10J"
"","https://www.wigan.gov.uk","1","10537","10537","0","10537","10537","11260","11260","0","11260","11260","5100","5100","0","5100","5100","3212","3212","0","3212","3212","1082175","1082175","0","1082175","1082175","58","58","0","58","58","10537","10537","0","10537","10537","9533","9533","0","9533","9533","11461","11461","0","11461","11461","11461","11461","0","11461","11461","220511_T8_10K"
"","https://www.denbighshire.gov.uk","1","5880","5880","0","5880","5880","8289","8289","0","8289","8289","2962","2962","0","2962","2962","3525","3525","0","3525","3525","470547","470547","0","470547","470547","36","36","0","36","36","5881","5881","0","5881","5881","7175","7175","0","7175","7175","9235","9235","0","9235","9235","9235","9235","0","9235","9235","220511_NN_10M"
"","https://www.nationalarchives.gov.uk","1","5260","5260","0","5260","5260","5476","5476","0","5476","5476","2337","2337","0","2337","2337","3244","3244","0","3244","3244","1904312","1904312","0","1904312","1904312","36","36","0","36","36","5260","5260","0","5260","5260","4346","4346","0","4346","4346","7444","7444","0","7444","7444","7444","7444","0","7444","7444","220511_F8_10N"
"","https://www.bolton.gov.uk","1","6481","6481","0","6481","6481","8890","8890","0","8890","8890","2016","2016","0","2016","2016","3084","3084","0","3084","3084","913536","913536","0","913536","913536","38","38","0","38","38","6481","6481","0","6481","6481","5844","5844","0","5844","5844","7213","7213","0","7213","7213","7213","7213","0","7213","7213","220511_RB_10P"
"","https://www.devon.gov.uk","1","8725","8725","0","8725","8725","14923","14923","0","14923","14923","2950","2950","0","2950","2950","1786","1786","0","1786","1786","711402","711402","0","711402","711402","47","47","0","47","47","8725","8725","0","8725","8725","6034","6034","0","6034","6034","14597","14597","0","14597","14597","14597","14597","0","14597","14597","220511_QT_10Q"
"","https://www.blaby.gov.uk","1","7281","7281","0","7281","7281","7661","7661","0","7661","7661","3173","3173","0","3173","3173","3305","3305","0","3305","3305","890723","890723","0","890723","890723","40","40","0","40","40","7281","7281","0","7281","7281","5913","5913","0","5913","5913","7478","7478","0","7478","7478","7478","7478","0","7478","7478","220511_51_10R"
"","https://www.royalgreenwich.gov.uk","1","9867","9867","0","9867","9867","12101","12101","0","12101","12101","3381","3381","0","3381","3381","2958","2958","0","2958","2958","2052037","2052037","0","2052037","2052037","73","73","0","73","73","9867","9867","0","9867","9867","7510","7510","0","7510","7510","12151","12151","0","12151","12151","12151","12151","0","12151","12151","220511_CX_10S"
"","https://www.birmingham.gov.uk","1","14570","14570","0","14570","14570","15285","15285","0","15285","15285","5994","5994","0","5994","5994","2097","2097","0","2097","2097","2991483","2991483","0","2991483","2991483","41","41","0","41","41","14571","14571","0","14571","14571","8895","8895","0","8895","8895","14112","14112","0","14112","14112","14112","14112","0","14112","14112","220511_QZ_10T"
"","https://www.dundeecity.gov.uk","1","7921","7921","0","7921","7921","10393","10393","0","10393","10393","2628","2628","0","2628","2628","3149","3149","0","3149","3149","562914","562914","0","562914","562914","33","33","0","33","33","7921","7921","0","7921","7921","5335","5335","0","5335","5335","6816","6816","0","6816","6816","5893","5893","0","5893","5893","220511_Y3_10V"
