"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://cand.uscourts.gov/","1","8950","8950","0","8950","8950","11817","11817","0","11817","11817","2502","2502","0","2502","2502","2375","2375","0","2375","2375","1074857","1074857","0","1074857","1074857","68","68","0","68","68","8950","8950","0","8950","8950","5634","5634","0","5634","5634","8360","8360","0","8360","8360","7400","7400","0","7400","7400","220509_B8_CP"
"","https://mn.gov/uimn/","1","11101","11101","0","11101","11101","14813","14813","0","14813","14813","2893","2893","0","2893","2893","2559","2559","0","2559","2559","1229556","1229556","0","1229556","1229556","21","21","0","21","21","11101","11101","0","11101","11101","6900","6900","0","6900","6900","10982","10982","0","10982","10982","10982","10982","0","10982","10982","220509_54_CQ"
"","https://kancare.ks.gov/","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","913","913","0","913","913","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31252","31252","0","31252","31252","35435","35435","0","35435","35435","35435","35435","0","35435","35435","220509_Z9_CR"
"","http://www.njmvc.gov/","1","12047","12047","0","12047","12047","12252","12252","0","12252","12252","2752","2752","0","2752","2752","2297","2297","0","2297","2297","1243427","1243427","0","1243427","1243427","87","87","0","87","87","12047","12047","0","12047","12047","5820","5820","0","5820","5820","11651","11651","0","11651","11651","11651","11651","0","11651","11651","220509_0E_CS"
"","https://www.mass.gov/","1","10043","10043","0","10043","10043","14459","14459","0","14459","14459","2329","2329","0","2329","2329","1473","1473","0","1473","1473","948740","948740","0","948740","948740","36","36","0","36","36","10043","10043","0","10043","10043","5941","5941","0","5941","5941","8167","8167","0","8167","8167","8167","8167","0","8167","8167","220509_7T_CT"
"","https://www.navajocountyaz.gov/","1","18524","18524","0","18524","18524","21634","21634","0","21634","21634","5769","5769","0","5769","5769","2294","2294","0","2294","2294","3727897","3727897","0","3727897","3727897","133","133","0","133","133","18524","18524","0","18524","18524","11022","11022","0","11022","11022","12608","12608","0","12608","12608","12608","12608","0","12608","12608","220509_WJ_CV"
"","https://dph.georgia.gov/","1","16557","16557","0","16557","16557","18413","18413","0","18413","18413","1492","1492","0","1492","1492","1341","1341","0","1341","1341","3390045","3390045","0","3390045","3390045","61","61","0","61","61","16557","16557","0","16557","16557","5317","5317","0","5317","5317","6630","6630","0","6630","6630","6630","6630","0","6630","6630","220509_WH_CW"
"","http://www.imls.gov/","1","16759","16759","0","16759","16759","25312","25312","0","25312","25312","4222","4222","0","4222","4222","2185","2185","0","2185","2185","4799755","4799755","0","4799755","4799755","108","108","0","108","108","16759","16759","0","16759","16759","12962","12962","0","12962","12962","14616","14616","0","14616","14616","14616","14616","0","14616","14616","220509_MN_CX"
"","https://www.defense.gov/","1","16252","16252","0","16252","16252","18312","18312","0","18312","18312","1927","1927","0","1927","1927","2335","2335","0","2335","2335","4949037","4949037","0","4949037","4949037","115","115","0","115","115","16252","16252","0","16252","16252","10573","10573","0","10573","10573","14420","14420","0","14420","14420","14420","14420","0","14420","14420","220509_D9_CY"
"","https://dat.maryland.gov/","1","13543","13543","0","13543","13543","13916","13916","0","13916","13916","2731","2731","0","2731","2731","1021","1021","0","1021","1021","1591609","1591609","0","1591609","1591609","68","68","0","68","68","13544","13544","0","13544","13544","9784","9784","0","9784","9784","10791","10791","0","10791","10791","10791","10791","0","10791","10791","220509_PJ_CZ"
