"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.mpic-yemen.org/","1","6190","6190","0","6190","6190","6731","6731","0","6731","6731","1715","1715","0","1715","1715","4554","4554","0","4554","4554","174148","174148","0","174148","174148","14","14","0","14","14","6189","6189","0","6189","6189","6205","6205","0","6205","6205","8826","8826","0","8826","8826","8826","8826","0","8826","8826","220412_TK_4"
"","http://www.moh.gov.ye/","1","51666","51666","0","51666","51666","56551","56551","0","56551","56551","16060","16060","0","16060","16060","5958","5958","0","5958","5958","3229430","3229430","0","3229430","3229430","70","70","0","70","70","51666","51666","0","51666","51666","47311","47311","0","47311","47311","51192","51192","0","51192","51192","51192","51192","0","51192","51192","220412_43_5"
"","http://www.mweye.org/","1","0","0","0","0","0","1031","1031","0","1031","1031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220412_7E_6"
"","http://www.mai-yemen.org/","1","0","0","0","0","0","896","896","0","896","896","0","0","0","0","0","1547","1547","0","1547","1547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1570","1570","0","1570","1570","1572","1572","0","1572","1572","1572","1572","0","1572","1572","220412_6H_7"
"","http://www.mofa.gov.ye/","1","45889","45889","0","45889","45889","48977","48977","0","48977","48977","12372","12372","0","12372","12372","5758","5758","0","5758","5758","4134550","4134550","0","4134550","4134550","75","75","0","75","75","45889","45889","0","45889","45889","19417","19417","0","19417","19417","24722","24722","0","24722","24722","24722","24722","0","24722","24722","220412_Q2_8"
"","http://www.moi.gov.ye/","1","0","0","0","0","0","10017","10017","0","10017","10017","0","0","0","0","0","4516","4516","0","4516","4516","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8685","8685","0","8685","8685","8774","8774","0","8774","8774","8774","8774","0","8774","8774","220412_8B_9"
"","http://www.infoyemen.net/","1","24712","24712","0","24712","24712","25424","25424","0","25424","25424","13452","13452","0","13452","13452","5750","5750","0","5750","5750","818866","818866","0","818866","818866","23","23","0","23","23","24711","24711","0","24711","24711","19511","19511","0","19511","19511","20422","20422","0","20422","20422","20422","20422","0","20422","20422","220412_WZ_A"
"","http://www.moe.gov.ye/","1","20992","20992","0","20992","20992","22754","22754","0","22754","22754","4235","4235","0","4235","4235","4666","4666","0","4666","4666","3702117","3702117","0","3702117","3702117","71","71","0","71","71","20992","20992","0","20992","20992","11696","11696","0","11696","11696","25809","25809","0","25809","25809","25809","25809","0","25809","25809","220412_DM_B"
"","http://www.mof.gov.ye/","1","13001","13001","0","13001","13001","14025","14025","0","14025","14025","6059","6059","0","6059","6059","6926","6926","0","6926","6926","1250773","1250773","0","1250773","1250773","48","48","0","48","48","13000","13000","0","13000","13000","11177","11177","0","11177","11177","13069","13069","0","13069","13069","13069","13069","0","13069","13069","220412_PC_C"
"","http://www.moitye.net/","1","0","0","0","0","0","11313","11313","0","11313","11313","0","0","0","0","0","3526","3526","0","3526","3526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5569","5569","0","5569","5569","5638","5638","0","5638","5638","5638","5638","0","5638","5638","220412_YK_D"
