,country,avg_height,std_height,avg_pixels,std_pixels,avg_width,std_width,count
0,bangladesh,472.81556503198294,693.1862814432957,1034915.395522388,3569094.0801324733,723.3134328358209,1056.483458625048,938
1,ethiopia,482.5824175824176,614.8555865761649,933725.127943485,2906087.559207222,782.2637362637363,1022.540778237738,1274
2,ghana,430.79017543859646,504.57669614186796,649887.4694736842,2172675.989587335,683.4245614035087,780.5457110996356,1425
3,india,342.78665899942496,514.2004707537133,558616.542840713,2330245.190775514,569.8418631397354,826.0282996822806,1739
4,kenya,337.8429602888087,376.68211980640973,386552.50902527076,1060141.146315817,547.1570397111914,641.6672894550412,1108
5,nigeria,394.1017740429505,454.9877435545944,547602.9934640523,1828081.7193373467,630.953314659197,722.6904445746388,1071
6,pakistan,422.9811320754717,421.71805821033325,465121.33684794675,959550.5739130114,637.5244173140954,607.7793550371255,1802
7,uganda,311.8392370572207,561.1012296895195,553765.6757493188,2769544.9051109357,472.22888283378745,856.6633767549181,734
8,yemen,383.46731234866826,534.7187235718394,629841.8038740921,3236239.233585134,589.2582728006457,875.6204871819775,1239
9,australia,259.7655860349127,344.1373470413326,299826.7493765586,1063185.0362117812,462.8004987531172,672.1071900466989,802
10,canada,328.56227106227107,391.8883521547295,429583.6923076923,1536660.5545212745,595.4734432234433,829.5848603389101,1092
11,france,202.86377708978327,309.5310745099457,204699.95975232197,1493558.1176521268,345.65634674922603,502.83287940056346,969
12,italy,256.92821249102656,371.7793257629956,299839.58219669777,1684834.6446035628,413.54845656855707,597.4770195829951,1393
13,japan,164.6892561983471,265.70336744450117,137923.86487603307,704421.0999206689,334.149173553719,412.5486443385774,2420
14,korea,199.72614213197969,365.4183880870282,186192.86243654822,1339426.827309538,293.952538071066,457.20644853266515,3940
15,new zealand,291.71920289855075,763.0465058343635,251969.42753623187,783789.6897849839,476.08152173913044,562.482063049798,552
16,singapore,364.1561922365989,564.8931495675837,591061.5933456562,1934232.6151002736,627.2985212569316,888.7116339798844,1082
17,spain,190.4314789687924,293.9786098553665,182789.85888738127,602215.5522713143,326.3717774762551,504.2208925235253,1474
18,uk,310.8089758342923,480.7305409873201,400189.14384349826,1462547.4468318168,492.1288837744534,712.4245798735997,869
19,usa,234.16960651289008,314.24241089894156,193327.32293080055,855192.8635521907,383.225237449118,476.2250596903178,737
