,country,avg_height,std_height,avg_pixels,std_pixels,avg_width,std_width,count
0,bangladesh,225.59247086943532,251.0221768939553,142943.01015835075,362363.66673025826,346.4018524051389,353.0485080431941,3347
1,ethiopia,249.5706609349812,378.93418360813473,218395.79742074152,981805.9134171158,363.21601289629234,520.8670112394685,1861
2,ghana,252.71735941320293,286.0898593883765,192247.4303178484,584790.3777864018,369.05770171149146,457.5058123222636,2045
3,india,254.57195799876467,292.1613441211871,173558.45027794936,434014.8420539623,344.7047560222359,428.58493541461246,1619
4,kenya,310.0320789636027,467.05839695270527,244343.2843923504,965954.8139042789,412.44540407156074,491.651367841552,1621
5,nigeria,255.1368006993007,319.10097171460484,201683.680506993,635884.7260163013,365.6276223776224,456.3599751230896,2288
6,pakistan,282.87177078440584,922.5335720916493,244455.2047909817,1122826.1621973487,385.1249412869892,608.5569455848384,2129
7,uganda,304.8517311608961,358.21620866561983,270735.47250509163,930318.5758117067,414.5144602851324,520.1733297354734,2455
8,yemen,273.7645218945487,361.9003010886809,233252.200178731,2981202.206907569,357.7774798927614,463.2486025152632,2238
9,australia,279.7784730913642,260.7090163883946,170408.7096370463,359292.7181204101,366.8648310387985,354.68843244081756,1598
10,canada,294.8311142256482,342.90391075369945,238376.07428170988,644793.8019734345,398.6832515767344,483.65494631876487,1427
11,france,247.7888647866956,282.63259399377205,178444.23355025306,831222.6165480348,327.03832248734636,450.3964662821113,1383
12,italy,225.40215792054929,254.85563736220226,157506.46002942618,453629.06878501887,336.22265816576754,397.1891237880436,2039
13,japan,260.4597966728281,291.2081973223951,200047.6719038817,618062.9246923093,372.71626617375233,509.5136683889381,2164
14,korea,232.86443514644353,223.88341825479353,132655.86527196653,298249.6853023796,343.22594142259413,322.8984658423768,2390
15,new zealand,297.4838945827233,329.21141985755486,234643.18740849194,633283.1647329368,413.2423133235725,474.13873740619783,1366
16,singapore,298.6819317235637,366.8879469405568,276078.0978351374,838528.6971981104,416.55287260616154,578.0654542114563,2402
17,spain,243.59702166064983,366.7016754061019,167509.47337545126,523389.3386069347,334.53925992779784,408.902022472528,2216
18,uk,218.47429746401644,266.0758571256269,131456.68882796436,383901.3564679963,291.17614804660724,362.1188688939233,1459
19,usa,273.1363236587511,304.620180866078,182762.16974494283,439668.1472823369,351.547053649956,413.2590271386067,1137
